Physical Time (s),theta_vol Monitor (W): cv1,theta_vol Monitor (W): cv2,theta_vol Monitor (W): cv3,theta_vol Monitor (W): cv4,theta_vol Monitor (W): cv5,theta_vol Monitor (W): cv6,theta_vol Monitor (W): cv7
0.1925,0,0,0,0,0,0,0
0.195,0,0,0,0,0,0,0
0.1975,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0
0.2025,0,0,0,0,0,0,0
0.205,0,0,0,0,0,0,0
0.2075,0,0,0,0,0,0,0
0.21,0,0,0,0,0,0,0
0.2125,0,0,0,0,0,0,0
0.215,0,0,0,0,0,0,0
0.2175,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0
0.2225,0,0,0,0,0,0,0
0.225,0,0,0,0,0,0,0
0.2275,0,0,0,0,0,0,0
0.23,0,0,0,0,0,0,0
0.2325,0,0,0,0,0,0,0
0.235,0,0,0,0,0,0,0
0.2375,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0
0.2425,0,0,0,0,0,0,0
0.245,0,0,0,0,0,0,0
0.2475,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0
0.2525,0,0,0,0,0,0,0
0.255,0,0,0,0,0,0,0
0.2575,0,0,0,0,0,0,0
0.26,0,0,0,0,0,0,0
0.2625,0,0,0,0,0,0,0
0.265,0,0,0,0,0,0,0
0.2675,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0
0.2725,0,0,0,0,0,0,0
0.275,0,0,0,0,0,0,0
0.2775,0,0,0,0,0,0,0
0.28,0,0,0,0,0,0,0
0.2825,0,0,0,0,0,0,0
0.285,0,0,0,0,0,0,0
0.2875,0,0,0,0,0,0,0
0.29,0,0,0,0,0,0,0
0.2925,0,0,0,0,0,0,0
0.295,0,0,0,0,0,0,0
0.2975,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0
0.3025,0,0,0,0,0,0,0
0.305,0,0,0,0,0,0,0
0.3075,0,0,0,0,0,0,0
0.31,0,0,0,0,0,0,0
0.3125,0,0,0,0,0,0,0
0.315,0,0,0,0,0,0,0
0.3175,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0
0.3225,0,0,0,0,0,0,0
0.325,0,0,0,0,0,0,0
0.3275,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,0
0.3325,0,0,0,0,0,0,0
0.335,0,0,0,0,0,0,0
0.3375,0,0,0,0,0,0,0
0.34,0,0,0,0,0,0,0
0.3425,0,0,0,0,0,0,0
0.345,0,0,0,0,0,0,0
0.3475,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0
0.3525,0,0,0,0,0,0,0
0.355,0,0,0,0,0,0,0
0.3575,0,0,0,0,0,0,0
0.36,0,0,0,0,0,0,0
0.3625,0,0,0,0,0,0,0
0.365,0,0,0,0,0,0,0
0.3675,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,0
0.3725,0,0,0,0,0,0,0
0.375,0,0,0,0,0,0,0
0.3775,0,0,0,0,0,0,0
0.38,0,0,0,0,0,0,0
0.3825,0,0,0,0,0,0,0
0.385,0,0,0,0,0,0,0
0.3875,0,0,0,0,0,0,0
0.39,0,0,0,0,0,0,0
0.3925,0,0,0,0,0,0,0
0.395,0,0,0,0,0,0,0
0.3975,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0
0.4025,0,0,0,0,0,0,0
0.405,0,0,0,0,0,0,0
0.4075,0,0,0,0,0,0,0
0.41,0,0,0,0,0,0,0
0.4125,0,0,0,0,0,0,0
0.415,0,0,0,0,0,0,0
0.4175,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,0
0.4225,0,0,0,0,0,0,0
0.425,0,0,0,0,0,0,0
0.4275,0,0,0,0,0,0,0
0.43,0,0,0,0,0,0,0
0.4325,0,0,0,0,0,0,0
0.435,0,0,0,0,0,0,0
0.4375,0,0,0,0,0,0,0
0.44,0,0,0,0,0,0,0
0.4425,0,0,0,0,0,0,0
0.445,0,0,0,0,0,0,0
0.4475,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0
0.4525,0,0,0,0,0,0,0
0.455,0,0,0,0,0,0,0
0.4575,0,0,0,0,0,0,0
0.46,0,0,0,0,0,0,0
0.4625,0,0,0,0,0,0,0
0.465,0,0,0,0,0,0,0
0.4675,0,0,0,0,0,0,0
0.47,0,0,0,0,0,0,0
0.4725,0,0,0,0,0,0,0
0.475,0,0,0,0,0,0,0
0.4775,0,0,0,0,0,0,0
0.48,0,0,0,0,0,0,0
0.4825,0,0,0,0,0,0,0
0.485,0,0,0,0,0,0,0
0.4875,0,0,0,0,0,0,0
0.49,0,0,0,0,0,0,0
0.4925,0,0,0,0,0,0,0
0.495,0,0,0,0,0,0,0
0.4975,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0
0.5025,0,0,0,0,0,0,0
0.505,0,0,0,0,0,0,0
0.5075,0,0,0,0,0,0,0
0.51,0,0,0,0,0,0,0
0.5125,0,0,0,0,0,0,0
0.515,0,0,0,0,0,0,0
0.5175,0,0,0,0,0,0,0
0.52,0,0,0,0,0,0,0
0.5225,0,0,0,0,0,0,0
0.525,0,0,0,0,0,0,0
0.5275,0,0,0,0,0,0,0
0.53,0,0,0,0,0,0,0
0.5325,0,0,0,0,0,0,0
0.535,0,0,0,0,0,0,0
0.5375,0,0,0,0,0,0,0
0.54,0,0,0,0,0,0,0
0.5425,0,0,0,0,0,0,0
0.545,0,0,0,0,0,0,0
0.5475,0,0,0,0,0,0,0
0.55,0,0,0,0,0,0,0
0.5525,0,0,0,0,0,0,0
0.555,0,0,0,0,0,0,0
0.5575,0,0,0,0,0,0,0
0.56,0,0,0,0,0,0,0
0.5625,0,0,0,0,0,0,0
0.565,0,0,0,0,0,0,0
0.5675,0,0,0,0,0,0,0
0.57,0,0,0,0,0,0,0
0.5725,0,0,0,0,0,0,0
0.575,0,0,0,0,0,0,0
0.5775,0,0,0,0,0,0,0
0.58,0,0,0,0,0,0,0
0.5825,0,0,0,0,0,0,0
0.585,0,0,0,0,0,0,0
0.5875,0,0,0,0,0,0,0
0.59,0,0,0,0,0,0,0
0.5925,0,0,0,0,0,0,0
0.595,0,0,0,0,0,0,0
0.5975,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0
0.6025,0,0,0,0,0,0,0
0.605,0,0,0,0,0,0,0
0.6075,0,0,0,0,0,0,0
0.61,0,0,0,0,0,0,0
0.6125,0,0,0,0,0,0,0
0.615,0,0,0,0,0,0,0
0.6175,0,0,0,0,0,0,0
0.62,0,0,0,0,0,0,0
0.6225,0,0,0,0,0,0,0
0.625,0,0,0,0,0,0,0
0.6275,0,0,0,0,0,0,0
0.63,0,0,0,0,0,0,0
0.6325,0,0,0,0,0,0,0
0.635,0,0,0,0,0,0,0
0.6375,0,0,0,0,0,0,0
0.64,0,0,0,0,0,0,0
0.6425,0,0,0,0,0,0,0
0.645,0,0,0,0,0,0,0
0.6475,0,0,0,0,0,0,0
0.65,0,0,0,0,0,0,0
0.6525,0,0,0,0,0,0,0
0.655,0,0,0,0,0,0,0
0.6575,0,0,0,0,0,0,0
0.66,0,0,0,0,0,0,0
0.6625,0,0,0,0,0,0,0
0.665,0,0,0,0,0,0,0
0.6675,0,0,0,0,0,0,0
0.67,0,0,0,0,0,0,0
0.6725,0,0,0,0,0,0,0
0.675,0,0,0,0,0,0,0
0.6775,0,0,0,0,0,0,0
0.68,0,0,0,0,0,0,0
0.6825,0,0,0,0,0,0,0
0.685,0,0,0,0,0,0,0
0.6875,0,0,0,0,0,0,0
0.69,0,0,0,0,0,0,0
0.6925,0,0,0,0,0,0,0
0.695,0,0,0,0,0,0,0
0.6975,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0
0.7025,0,0,0,0,0,0,0
0.705,0,0,0,0,0,0,0
0.7075,0,0,0,0,0,0,0
0.71,0,0,0,0,0,0,0
0.7125,0,0,0,0,0,0,0
0.715,0,0,0,0,0,0,0
0.7175,0,0,0,0,0,0,0
0.72,0,0,0,0,0,0,0
0.7225,0,0,0,0,0,0,0
0.725,0,0,0,0,0,0,0
0.7275,0,0,0,0,0,0,0
0.73,0,0,0,0,0,0,0
0.7325,0,0,0,0,0,0,0
0.735,0,0,0,0,0,0,0
0.7375,0,0,0,0,0,0,0
0.74,0,0,0,0,0,0,0
0.7425,0,0,0,0,0,0,0
0.745,0,0,0,0,0,0,0
0.7475,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0
0.7525,0,0,0,0,0,0,0
0.755,0,0,0,0,0,0,0
0.7575,0,0,0,0,0,0,0
0.76,0,0,0,0,0,0,0
0.7625,0,0,0,0,0,0,0
0.765,0,0,0,0,0,0,0
0.7675,0,0,0,0,0,0,0
0.77,0,0,0,0,0,0,0
0.7725,0,0,0,0,0,0,0
0.775,0,0,0,0,0,0,0
0.7775,0,0,0,0,0,0,0
0.78,0,0,0,0,0,0,0
0.7825,0,0,0,0,0,0,0
0.785,0,0,0,0,0,0,0
0.7875,0,0,0,0,0,0,0
0.79,0,0,0,0,0,0,0
0.7925,0,0,0,0,0,0,0
0.795,0,0,0,0,0,0,0
0.7975,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0
0.8025,0,0,0,0,0,0,0
0.805,0,0,0,0,0,0,0
0.8075,0,0,0,0,0,0,0
0.81,0,0,0,0,0,0,0
0.8125,0,0,0,0,0,0,0
0.815,0,0,0,0,0,0,0
0.8175,0,0,0,0,0,0,0
0.82,0,0,0,0,0,0,0
0.8225,0,0,0,0,0,0,0
0.825,0,0,0,0,0,0,0
0.8275,0,0,0,0,0,0,0
0.83,0,0,0,0,0,0,0
0.8325,0,0,0,0,0,0,0
0.835,0,0,0,0,0,0,0
0.8375,0,0,0,0,0,0,0
0.84,0,0,0,0,0,0,0
0.8425,0,0,0,0,0,0,0
0.845,0,0,0,0,0,0,0
0.8475,0,0,0,0,0,0,0
0.85,0,0,0,0,0,0,0
0.8525,0,0,0,0,0,0,0
0.855,0,0,0,0,0,0,0
0.8575,0,0,0,0,0,0,0
0.86,0,0,0,0,0,0,0
0.8625,0,0,0,0,0,0,0
0.865,0,0,0,0,0,0,0
0.8675,0,0,0,0,0,0,0
0.87,0,0,0,0,0,0,0
0.8725,0,0,0,0,0,0,0
0.875,0,0,0,0,0,0,0
0.8775,0,0,0,0,0,0,0
0.88,0,0,0,0,0,0,0
0.8825,0,0,0,0,0,0,0
0.885,0,0,0,0,0,0,0
0.8875,0,0,0,0,0,0,0
0.89,0,0,0,0,0,0,0
0.8925,0,0,0,0,0,0,0
0.895,0,0,0,0,0,0,0
0.8975,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0
0.9025,0,0,0,0,0,0,0
0.905,0,0,0,0,0,0,0
0.9075,0,0,0,0,0,0,0
0.91,0,0,0,0,0,0,0
0.9125,0,0,0,0,0,0,0
0.915,0,0,0,0,0,0,0
0.9175,0,0,0,0,0,0,0
0.92,0,0,0,0,0,0,0
0.9225,0,0,0,0,0,0,0
0.925,0,0,0,0,0,0,0
0.9275,0,0,0,0,0,0,0
0.93,0,0,0,0,0,0,0
0.9325,0,0,0,0,0,0,0
0.935,0,0,0,0,0,0,0
0.9375,0,0,0,0,0,0,0
0.94,0,0,0,0,0,0,0
0.9425,0,0,0,0,0,0,0
0.945,0,0,0,0,0,0,0
0.9475,0,0,0,0,0,0,0
0.95,0,0,0,0,0,0,0
0.9525,0,0,0,0,0,0,0
0.955,0,0,0,0,0,0,0
0.9575,0,0,0,0,0,0,0
0.96,0,0,0,0,0,0,0
0.9625,0,0,0,0,0,0,0
0.965,0,0,0,0,0,0,0
0.9675,0,0,0,0,0,0,0
0.97,0,0,0,0,0,0,0
0.9725,0,0,0,0,0,0,0
0.975,0,0,0,0,0,0,0
0.9775,0,0,0,0,0,0,0
0.98,0,0,0,0,0,0,0
0.9825,0,0,0,0,0,0,0
0.985,0,0,0,0,0,0,0
0.9875,0,0,0,0,0,0,0
0.99,0,0,0,0,0,0,0
0.9925,0,0,0,0,0,0,0
0.995,0,0,0,0,0,0,0
0.9975,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0
1.0025,0,0,0,0,0,0,0
1.005,0,0,0,0,0,0,0
1.0075,0,0,0,0,0,0,0
1.01,0,0,0,0,0,0,0
1.0125,0,0,0,0,0,0,0
1.015,0,0,0,0,0,0,0
1.0175,0,0,0,0,0,0,0
1.02,0,0,0,0,0,0,0
1.0225,0,0,0,0,0,0,0
1.025,0,0,0,0,0,0,0
1.0275,0,0,0,0,0,0,0
1.03,0,0,0,0,0,0,0
1.0325,0,0,0,0,0,0,0
1.035,0,0,0,0,0,0,0
1.0375,0,0,0,0,0,0,0
1.04,0,0,0,0,0,0,0
1.0425,0,0,0,0,0,0,0
1.045,0,0,0,0,0,0,0
1.0475,0,0,0,0,0,0,0
1.05,0,0,0,0,0,0,0
1.0525,0,0,0,0,0,0,0
1.055,0,0,0,0,0,0,0
1.0575,0,0,0,0,0,0,0
1.06,0,0,0,0,0,0,0
1.0625,0,0,0,0,0,0,0
1.065,0,0,0,0,0,0,0
1.0675,0,0,0,0,0,0,0
1.07,0,0,0,0,0,0,0
1.0725,0,0,0,0,0,0,0
1.075,0,0,0,0,0,0,0
1.0775,0,0,0,0,0,0,0
1.08,0,0,0,0,0,0,0
1.0825,0,0,0,0,0,0,0
1.085,0,0,0,0,0,0,0
1.0875,0,0,0,0,0,0,0
1.09,0,0,0,0,0,0,0
1.0925,0,0,0,0,0,0,0
1.095,0,0,0,0,0,0,0
1.0975,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0
1.1025,0,0,0,0,0,0,0
1.105,0,0,0,0,0,0,0
1.1075,0,0,0,0,0,0,0
1.11,0,0,0,0,0,0,0
1.1125,0,0,0,0,0,0,0
1.115,0,0,0,0,0,0,0
1.1175,0,0,0,0,0,0,0
1.12,0,0,0,0,0,0,0
1.1225,0,0,0,0,0,0,0
1.125,0,0,0,0,0,0,0
1.1275,0,0,0,0,0,0,0
1.13,0,0,0,0,0,0,0
1.1325,0,0,0,0,0,0,0
1.135,0,0,0,0,0,0,0
1.1375,0,0,0,0,0,0,0
1.14,0,0,0,0,0,0,0
1.1425,0,0,0,0,0,0,0
1.145,0,0,0,0,0,0,0
1.1475,0,0,0,0,0,0,0
1.15,0,0,0,0,0,0,0
1.1525,0,0,0,0,0,0,0
1.155,0,0,0,0,0,0,0
1.1575,0,0,0,0,0,0,0
1.16,0,0,0,0,0,0,0
1.1625,0,0,0,0,0,0,0
1.165,0,0,0,0,0,0,0
1.1675,0,0,0,0,0,0,0
1.17,0,0,0,0,0,0,0
1.1725,0,0,0,0,0,0,0
1.175,0,0,0,0,0,0,0
1.1775,0,0,0,0,0,0,0
1.18,0,0,0,0,0,0,0
1.1825,0,0,0,0,0,0,0
1.185,0,0,0,0,0,0,0
1.1875,0,0,0,0,0,0,0
1.19,0,0,0,0,0,0,0
1.1925,0,0,0,0,0,0,0
1.195,0,0,0,0,0,0,0
1.1975,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0
1.2025,0,0,0,0,0,0,0
1.205,0,0,0,0,0,0,0
1.2075,0,0,0,0,0,0,0
1.21,0,0,0,0,0,0,0
1.2125,0,0,0,0,0,0,0
1.215,0,0,0,0,0,0,0
1.2175,0,0,0,0,0,0,0
1.22,0,0,0,0,0,0,0
1.2225,0,0,0,0,0,0,0
1.225,0,0,0,0,0,0,0
1.2275,0,0,0,0,0,0,0
1.23,0,0,0,0,0,0,0
1.2325,0,0,0,0,0,0,0
1.235,0,0,0,0,0,0,0
1.2375,0,0,0,0,0,0,0
1.24,0,0,0,0,0,0,0
1.2425,0,0,0,0,0,0,0
1.245,0,0,0,0,0,0,0
1.2475,0,0,0,0,0,0,0
1.25,0,0,0,0,0,0,0
1.2525,0,0,0,0,0,0,0
1.255,0,0,0,0,0,0,0
1.2575,0,0,0,0,0,0,0
1.26,0,0,0,0,0,0,0
1.2625,0,0,0,0,0,0,0
1.265,0,0,0,0,0,0,0
1.2675,0,0,0,0,0,0,0
1.27,0,0,0,0,0,0,0
1.2725,0,0,0,0,0,0,0
1.275,0,0,0,0,0,0,0
1.2775,0,0,0,0,0,0,0
1.28,0,0,0,0,0,0,0
1.2825,0,0,0,0,0,0,0
1.285,0,0,0,0,0,0,0
1.2875,0,0,0,0,0,0,0
1.29,0,0,0,0,0,0,0
1.2925,0,0,0,0,0,0,0
1.295,0,0,0,0,0,0,0
1.2975,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0
1.3025,0,0,0,0,0,0,0
1.305,0,0,0,0,0,0,0
1.3075,0,0,0,0,0,0,0
1.31,0,0,0,0,0,0,0
1.3125,0,0,0,0,0,0,0
1.315,0,0,0,0,0,0,0
1.3175,0,0,0,0,0,0,0
1.32,0,0,0,0,0,0,0
1.3225,0,0,0,0,0,0,0
1.325,0,0,0,0,0,0,0
1.3275,0,0,0,0,0,0,0
1.33,0,0,0,0,0,0,0
1.3325,0,0,0,0,0,0,0
1.335,0,0,0,0,0,0,0
1.3375,0,0,0,0,0,0,0
1.34,0,0,0,0,0,0,0
1.3425,0,0,0,0,0,0,0
1.345,0,0,0,0,0,0,0
1.3475,0,0,0,0,0,0,0
1.35,0,0,0,0,0,0,0
1.3525,0,0,0,0,0,0,0
1.355,0,0,0,0,0,0,0
1.3575,0,0,0,0,0,0,0
1.36,0,0,0,0,0,0,0
1.3625,0,0,0,0,0,0,0
1.365,0,0,0,0,0,0,0
1.3675,0,0,0,0,0,0,0
1.37,0,0,0,0,0,0,0
1.3725,0,0,0,0,0,0,0
1.375,0,0,0,0,0,0,0
1.3775,0,0,0,0,0,0,0
1.38,0,0,0,0,0,0,0
1.3825,0,0,0,0,0,0,0
1.385,0,0,0,0,0,0,0
1.3875,0,0,0,0,0,0,0
1.39,0,0,0,0,0,0,0
1.3925,0,0,0,0,0,0,0
1.395,0,0,0,0,0,0,0
1.3975,0,0,0,0,0,0,0
1.4,0,0,0,0,0,0,0
1.4025,0,0,0,0,0,0,0
1.405,0,0,0,0,0,0,0
1.4075,0,0,0,0,0,0,0
1.41,0,0,0,0,0,0,0
1.4125,0,0,0,0,0,0,0
1.415,0,0,0,0,0,0,0
1.4175,0,0,0,0,0,0,0
1.42,0,0,0,0,0,0,0
1.4225,0,0,0,0,0,0,0
1.425,0,0,0,0,0,0,0
1.4275,0,0,0,0,0,0,0
1.43,0,0,0,0,0,0,0
1.4325,0,0,0,0,0,0,0
1.435,0,0,0,0,0,0,0
1.4375,0,0,0,0,0,0,0
1.44,0,0,0,0,0,0,0
1.4425,0,0,0,0,0,0,0
1.445,0,0,0,0,0,0,0
1.4475,0,0,0,0,0,0,0
1.45,0,0,0,0,0,0,0
1.4525,0,0,0,0,0,0,0
1.455,0,0,0,0,0,0,0
1.4575,0,0,0,0,0,0,0
1.46,0,0,0,0,0,0,0
1.4625,0,0,0,0,0,0,0
1.465,0,0,0,0,0,0,0
1.4675,0,0,0,0,0,0,0
1.47,0,0,0,0,0,0,0
1.4725,0,0,0,0,0,0,0
1.475,0,0,0,0,0,0,0
1.4775,0,0,0,0,0,0,0
1.48,0,0,0,0,0,0,0
1.4825,0,0,0,0,0,0,0
1.485,0,0,0,0,0,0,0
1.4875,0,0,0,0,0,0,0
1.49,0,0,0,0,0,0,0
1.4925,0,0,0,0,0,0,0
1.495,0,0,0,0,0,0,0
1.4975,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0
1.5025,0,0,0,0,0,0,0
1.505,0,0,0,0,0,0,0
1.5075,0,0,0,0,0,0,0
1.51,0,0,0,0,0,0,0
1.5125,0,0,0,0,0,0,0
1.515,0,0,0,0,0,0,0
1.5175,0,0,0,0,0,0,0
1.52,0,0,0,0,0,0,0
1.5225,0,0,0,0,0,0,0
1.525,0,0,0,0,0,0,0
1.5275,0,0,0,0,0,0,0
1.53,0,0,0,0,0,0,0
1.5325,0,0,0,0,0,0,0
1.535,0,0,0,0,0,0,0
1.5375,0,0,0,0,0,0,0
1.54,0,0,0,0,0,0,0
1.5425,0,0,0,0,0,0,0
1.545,0,0,0,0,0,0,0
1.5475,0,0,0,0,0,0,0
1.55,0,0,0,0,0,0,0
1.5525,0,0,0,0,0,0,0
1.555,0,0,0,0,0,0,0
1.5575,0,0,0,0,0,0,0
1.56,0,0,0,0,0,0,0
1.5625,0,0,0,0,0,0,0
1.565,0,0,0,0,0,0,0
1.5675,0,0,0,0,0,0,0
1.57,0,0,0,0,0,0,0
1.5725,0,0,0,0,0,0,0
1.575,0,0,0,0,0,0,0
1.5775,0,0,0,0,0,0,0
1.58,0,0,0,0,0,0,0
1.5825,0,0,0,0,0,0,0
1.585,0,0,0,0,0,0,0
1.5875,0,0,0,0,0,0,0
1.59,0,0,0,0,0,0,0
1.5925,0,0,0,0,0,0,0
1.595,0,0,0,0,0,0,0
1.5975,0,0,0,0,0,0,0
1.6,0,0,0,0,0,0,0
1.6025,0,0,0,0,0,0,0
1.605,0,0,0,0,0,0,0
1.6075,0,0,0,0,0,0,0
1.61,0,0,0,0,0,0,0
1.6125,0,0,0,0,0,0,0
1.615,0,0,0,0,0,0,0
1.6175,0,0,0,0,0,0,0
1.62,0,0,0,0,0,0,0
1.6225,0,0,0,0,0,0,0
1.625,0,0,0,0,0,0,0
1.6275,0,0,0,0,0,0,0
1.63,0,0,0,0,0,0,0
1.6325,0,0,0,0,0,0,0
1.635,0,0,0,0,0,0,0
1.6375,0,0,0,0,0,0,0
1.64,0,0,0,0,0,0,0
1.6425,0,0,0,0,0,0,0
1.645,0,0,0,0,0,0,0
1.6475,0,0,0,0,0,0,0
1.65,0,0,0,0,0,0,0
1.6525,0,0,0,0,0,0,0
1.655,0,0,0,0,0,0,0
1.6575,0,0,0,0,0,0,0
1.66,0,0,0,0,0,0,0
1.6625,0,0,0,0,0,0,0
1.665,0,0,0,0,0,0,0
1.6675,0,0,0,0,0,0,0
1.67,0,0,0,0,0,0,0
1.6725,0,0,0,0,0,0,0
1.675,0,0,0,0,0,0,0
1.6775,0,0,0,0,0,0,0
1.68,0,0,0,0,0,0,0
1.6825,0,0,0,0,0,0,0
1.685,0,0,0,0,0,0,0
1.6875,0,0,0,0,0,0,0
1.69,0,0,0,0,0,0,0
1.6925,0,0,0,0,0,0,0
1.695,0,0,0,0,0,0,0
1.6975,0,0,0,0,0,0,0
1.7,0,0,0,0,0,0,0
1.7025,0,0,0,0,0,0,0
1.705,0,0,0,0,0,0,0
1.7075,0,0,0,0,0,0,0
1.71,0,0,0,0,0,0,0
1.7125,0,0,0,0,0,0,0
1.715,0,0,0,0,0,0,0
1.7175,0,0,0,0,0,0,0
1.72,0,0,0,0,0,0,0
1.7225,0,0,0,0,0,0,0
1.725,0,0,0,0,0,0,0
1.7275,0,0,0,0,0,0,0
1.73,0,0,0,0,0,0,0
1.7325,0,0,0,0,0,0,0
1.735,0,0,0,0,0,0,0
1.7375,0,0,0,0,0,0,0
1.74,0,0,0,0,0,0,0
1.7425,0,0,0,0,0,0,0
1.745,0,0,0,0,0,0,0
1.7475,0,0,0,0,0,0,0
1.75,0,0,0,0,0,0,0
1.7525,0,0,0,0,0,0,0
1.755,0,0,0,0,0,0,0
1.7575,0,0,0,0,0,0,0
1.76,0,0,0,0,0,0,0
1.7625,0,0,0,0,0,0,0
1.765,0,0,0,0,0,0,0
1.7675,0,0,0,0,0,0,0
1.77,0,0,0,0,0,0,0
1.7725,0,0,0,0,0,0,0
1.775,0,0,0,0,0,0,0
1.7775,0,0,0,0,0,0,0
1.78,0,0,0,0,0,0,0
1.7825,0,0,0,0,0,0,0
1.785,0,0,0,0,0,0,0
1.7875,0,0,0,0,0,0,0
1.79,0,0,0,0,0,0,0
1.7925,0,0,0,0,0,0,0
1.795,0,0,0,0,0,0,0
1.7975,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0
1.8025,0,0,0,0,0,0,0
1.805,0,0,0,0,0,0,0
1.8075,0,0,0,0,0,0,0
1.81,0,0,0,0,0,0,0
1.8125,0,0,0,0,0,0,0
1.815,0,0,0,0,0,0,0
1.8175,0,0,0,0,0,0,0
1.82,0,0,0,0,0,0,0
1.8225,0,0,0,0,0,0,0
1.825,0,0,0,0,0,0,0
1.8275,0,0,0,0,0,0,0
1.83,0,0,0,0,0,0,0
1.8325,0,0,0,0,0,0,0
1.835,0,0,0,0,0,0,0
1.8375,0,0,0,0,0,0,0
1.84,0,0,0,0,0,0,0
1.8425,0,0,0,0,0,0,0
1.845,0,0,0,0,0,0,0
1.8475,0,0,0,0,0,0,0
1.85,0,0,0,0,0,0,0
1.8525,0,0,0,0,0,0,0
1.855,0,0,0,0,0,0,0
1.8575,0,0,0,0,0,0,0
