Physical Time (s),ew_bot Monitor (W): bot_cv1,ew_bot Monitor (W): bot_cv2,ew_bot Monitor (W): bot_cv3,ew_bot Monitor (W): bot_cv4,ew_bot Monitor (W): bot_cv5,ew_bot Monitor (W): bot_cv6,ew_bot Monitor (W): bot_cv7
0.095,-2.3700870259445641e-19,-4.9977091687474761e-19,-5.9429602486814624e-19,-7.6951558958811852e-19,-4.594448528839389e-19,-8.8340189852292499e-19,-2.6285440067240999e-19
0.0975,-1.8119724808952154e-19,-3.978374438245932e-19,-4.1866053529212963e-19,-3.1852527890264097e-19,-2.1743782589086073e-19,-6.247915388682544e-19,-2.4381616213872269e-19
0.1,-1.1353518250163214e-19,-3.0614473469400449e-19,-2.7927450145542873e-19,-4.4325083315042562e-20,-1.6582348787703743e-20,-3.3660056297196884e-19,-2.5699296160323112e-19
0.1025,-5.7205038876274977e-20,-2.266639846027195e-19,-1.9094054659289009e-19,6.0466547711568942e-20,9.3748972938714839e-20,-1.3468687571836775e-19,-2.7516957125117782e-19
0.105,-2.0695940299789623e-20,-1.6473565328392592e-19,-1.5807419623955179e-19,6.8788931227337032e-20,1.491648826640753e-19,8.1832625454225882e-21,-1.9760021212278917e-19
0.1075,1.2023362486550509e-20,-1.1832749411512751e-19,-1.7034567674120231e-19,3.7624284734762799e-20,1.4961359549629207e-19,8.6587721777174399e-20,-2.3493863134864578e-20
0.11,5.6238989510893957e-20,-8.3768508621966193e-20,-2.0599798791163966e-19,-1.4021103740395911e-20,9.5037894240213513e-20,1.0607088176322983e-19,1.3760628019707076e-19
0.1125,1.0549177267250901e-19,-5.486936302278615e-20,-2.4387454826329219e-19,-8.647988644412428e-20,2.3281708639372066e-20,1.0870427766147846e-19,2.0037103325193043e-19
0.115,1.3411811123292899e-19,-2.9915158327078591e-20,-2.729138910066986e-19,-1.761433048397042e-19,-2.5933092843081611e-20,1.0412289328830119e-19,1.7926140602740073e-19
0.1175,1.5543798875481237e-19,-8.2045667129761568e-21,-2.8597025159332843e-19,-2.5796260063189067e-19,-4.9650954528751828e-20,7.3215232720287587e-20,1.4385563840076857e-19
0.12,2.0646670521202096e-19,1.0127867979528105e-20,-2.8071719387162675e-19,-2.9669532995546971e-19,-6.1131595010027956e-20,2.215351015458273e-20,1.1161460497940992e-19
0.1225,2.9718341221619957e-19,2.3169952771097783e-20,-2.5447222130135596e-19,-2.7311876454274921e-19,-6.5140443458456392e-20,-2.2937763248810481e-20,5.4270271311153072e-20
0.125,3.6426947068266977e-19,2.5964768377164386e-20,-2.1312658556749282e-19,-2.0634114944023551e-19,-6.2391939614903155e-20,-6.2420495004737924e-20,-3.289145882921102e-20
0.1275,3.267916917961695e-19,1.276616534751595e-20,-1.7839942163534981e-19,-1.3809398765915666e-19,-5.7198136250296681e-20,-1.0907316363677008e-19,-1.009278310109448e-19
0.13,2.0152191676164028e-19,-1.4900592159345435e-20,-1.8020976235135528e-19,-1.0021337418581611e-19,-5.286648812856523e-20,-1.5265568988572109e-19,-1.1658445077076437e-19
0.1325,7.6276843073971718e-20,-5.2485648689120651e-20,-2.3733684867464312e-19,-1.0040693125068793e-19,-4.9191429172864355e-20,-1.6126652303775041e-19,-9.130113004357003e-20
0.135,8.7138443723370431e-21,-9.6439891812644754e-20,-3.4362809480448632e-19,-1.3389044173338207e-19,-4.5496254725059458e-20,-1.2295880004096606e-19,-5.7713205921928556e-20
0.1375,-2.5468736869225569e-20,-1.4630228631959659e-19,-4.7434855062864123e-19,-1.9731107504126921e-19,-4.2695693164633206e-20,-5.8570088987959974e-20,-3.0157294349473214e-20
0.14,-6.1100110957273915e-20,-2.0374947471435233e-19,-6.0665451210067579e-19,-2.9132250763568855e-19,-4.1668704421892562e-20,4.5016887926738264e-21,-4.7894446932827282e-21
0.1425,-8.6178201654265774e-20,-2.5878313213142587e-19,-7.2799456288668615e-19,-4.1420795795298736e-19,-4.2535991729535002e-20,4.6087748146076598e-20,1.7898558293530989e-20
0.145,-8.1044140292603151e-20,-3.005679038326045e-19,-8.3321226477886611e-19,-5.4723694661914245e-19,-4.5464497117529748e-20,6.2480645579219789e-20,4.2394646504942738e-20
0.1475,-6.3615051867286367e-20,-3.2190946647306282e-19,-9.1146029221359744e-19,-6.5490432292342973e-19,-5.1386518853301552e-20,5.8452198142002369e-20,7.7952984792863988e-20
0.15,-5.9880386525843502e-20,-3.1428654676456639e-19,-9.4397184937559473e-19,-7.0608311758986041e-19,-6.0498467767528162e-20,4.2841524901385183e-20,1.0848709197611371e-19
0.1525,-6.1597199691359402e-20,-2.7514222014391725e-19,-9.163700295900649e-19,-6.8854267041353722e-19,-7.0591199227150968e-20,2.3342810689833894e-20,1.0160146861968764e-19
0.155,-4.6577877195053001e-20,-2.1800023622470816e-19,-8.3140357472595453e-19,-6.1286011669515083e-19,-7.7969037236675318e-20,5.4523942778634678e-21,5.4231758998096894e-20
0.1575,-1.1443860226607716e-20,-1.5685747104509616e-19,-7.1035235152387216e-19,-5.053341705021298e-19,-7.9932357708882699e-20,-8.2025647575027343e-21,3.465171458453091e-21
0.16,2.9359288366169505e-20,-1.0409998919033277e-19,-5.8079926506777283e-19,-3.9647486509702568e-19,-7.626888061230619e-20,-1.6615237095084405e-20,-2.3194961274307397e-20
0.1625,6.2295268298387362e-20,-6.5627188056480356e-20,-4.6867807940024835e-19,-3.0776295699541273e-19,-7.0196305803824216e-20,-2.1483182061676853e-20,-3.4205122524266282e-20
0.165,8.4264308632473163e-20,-4.1696157605468699e-20,-3.8906451958891538e-19,-2.4793322855630194e-19,-6.2134011079943778e-20,-2.8430194279414996e-20,-5.2955971532018563e-20
0.1675,9.6715679534956343e-20,-2.8503353134679203e-20,-3.452286624784851e-19,-2.1627184801746262e-19,-5.3637352283963377e-20,-3.8400504209099745e-20,-7.3195798265821472e-20
0.17,1.0286465874668683e-19,-2.1771983805739972e-20,-3.3317217947512393e-19,-2.0747929721247964e-19,-4.490370159166951e-20,-4.3064547133620159e-20,-6.7890425149718024e-20
0.1725,1.0459250063429782e-19,-1.8574018509749038e-20,-3.4508824239572215e-19,-2.133343735984133e-19,-3.5398455911237023e-20,-2.7053164747516186e-20,-2.7006458663536037e-20
0.175,1.0319272496119178e-19,-1.723315083002573e-20,-3.7014941979302315e-19,-2.2462166689891556e-19,-2.5601534416579561e-20,1.5258754310015914e-20,3.0711594089473036e-20
0.1775,9.7841808427254242e-20,-1.7080735835217858e-20,-3.9783129821228075e-19,-2.3354097236655866e-19,-1.6474821534581308e-20,6.8093156546524087e-20,7.5131663797256883e-20
0.18,8.8213317463785592e-20,-1.8514149293398265e-20,-4.1956706396063809e-19,-2.349533171322877e-19,-9.0053413815001095e-21,1.0364821119565409e-19,9.0073674749795018e-20
0.1825,7.4028447153300752e-20,-2.2603958793148685e-20,-4.3043692589561511e-19,-2.2856302996519516e-19,-4.373785009454493e-21,1.0394482831671197e-19,7.7857759566276099e-20
0.185,5.6198570160353364e-20,-3.1127226913405213e-20,-4.3033647669903818e-19,-2.1910231482309881e-19,-3.8324772218953843e-21,7.3779726001284878e-20,5.0383567434864856e-20
0.1875,3.803447747321675e-20,-4.4999238290674279e-20,-4.2275237136521824e-19,-2.1189144580365006e-19,-8.3768602085880154e-21,3.504085803239311e-20,2.271200170573298e-20
0.19,2.2804133016308497e-20,-6.482199118663814e-20,-4.1518669926127819e-19,-2.1166640562189452e-19,-1.816938446801396e-20,4.4690509964628799e-21,2.0115696337513167e-21
0.1925,1.1435250009797804e-20,-9.1163908672626969e-20,-4.1452384865724475e-19,-2.2082283897303096e-19,-3.2267970941930971e-20,-1.2581145234702254e-20,-9.743562232717966e-21
0.195,2.9263235589982937e-21,-1.2338348628336238e-19,-4.2628936346425995e-19,-2.3988160804945341e-19,-4.8837149584993369e-20,-1.8683582664906445e-20,-1.4237709779428487e-20
0.1975,-4.8007562517179201e-21,-1.5932494883063293e-19,-4.5381568932268979e-19,-2.6838848161443809e-19,-6.5486845754686447e-20,-1.9251442239537774e-20,-1.451349875047425e-20
0.2,-1.3659007063122769e-20,-1.956827496656969e-19,-4.9650348792380896e-19,-3.0399753465679547e-19,-7.9627698216691221e-20,-1.8072266373429226e-20,-1.3170707671684473e-20
0.2025,-2.2940041724956969e-20,-2.2869237366530474e-19,-5.5062406049756103e-19,-3.4254401009557161e-19,-8.9111483222755884e-20,-1.593855926718699e-20,-1.1458543925499317e-20
0.205,-2.9740253369569818e-20,-2.5474387270184893e-19,-6.0878273045744569e-19,-3.7823110189455905e-19,-9.2803901014195496e-20,-1.2928835044570656e-20,-8.6243339109203455e-21
0.2075,-3.0488117397688785e-20,-2.7138465541637845e-19,-6.6174145983900087e-19,-4.0546300685476575e-19,-9.0160126662943344e-20,-9.3270144080442109e-21,-4.0840674920990733e-21
0.21,-2.2893700116842029e-20,-2.7641808360683958e-19,-7.0281868326471265e-19,-4.1780640583970355e-19,-8.1569451161611211e-20,-5.7468764691462855e-21,1.7113167329452122e-21
0.2125,-7.4779834293701617e-21,-2.7012203741370646e-19,-7.297571263485424e-19,-4.1775805972977955e-19,-6.8625302690072975e-20,-2.3943551740513945e-21,6.9243274800554509e-21
0.215,1.2462597274040366e-20,-2.5257268532831528e-19,-7.447031881805871e-19,-4.0988916892773934e-19,-5.3896707827991867e-20,5.4110833253904711e-22,9.6199274853037475e-21
0.2175,3.1560565229799262e-20,-2.2623346596950454e-19,-7.4833623938519832e-19,-3.9987855938522495e-19,-4.0541291309069067e-20,2.630428347181448e-21,9.1912437278736993e-21
0.22,4.3445498871345148e-20,-1.9840382198956579e-19,-7.4435238100066789e-19,-3.9564270981717434e-19,-3.1409047003208683e-20,3.27022423914968e-21,6.6470066829113368e-21
0.2225,4.3917098532409423e-20,-1.7132216984136482e-19,-7.3544845907457817e-19,-4.0419613777088821e-19,-2.7982224238372617e-20,2.2206126074516215e-21,3.5394425788077773e-21
0.225,3.4173167256179357e-20,-1.4476009489959567e-19,-7.234371851120564e-19,-4.2994733049569097e-19,-2.9967157692458397e-20,1.6732356021041589e-23,9.2744543311517289e-22
0.2275,2.1363531599403376e-20,-1.2067951572315829e-19,-7.0988353906675345e-19,-4.7188770678539927e-19,-3.5879303831288968e-20,-2.5601389067271129e-21,-8.0786437162258293e-22
0.23,1.6855477242789901e-20,-1.0009873623300986e-19,-6.950093354871862e-19,-5.2196722756256072e-19,-4.4031112222440618e-20,-5.0669836272870638e-21,-1.7474379421460291e-21
0.2325,2.9644509951544312e-20,-8.375162286145371e-20,-6.7660915119381185e-19,-5.6593132242267509e-19,-5.3267471749315081e-20,-7.4141802337141976e-21,-2.2625322616863844e-21
0.235,5.958360669745098e-20,-7.191551678745997e-20,-6.525801172865479e-19,-5.8846182652893502e-19,-6.267765277463314e-20,-9.1531286964025476e-21,-2.9230675886633763e-21
0.2375,9.7361718865995116e-20,-6.4251987218719807e-20,-6.2278537111714717e-19,-5.7973942777176018e-19,-7.0797094450145556e-20,-9.5577008655557746e-21,-3.9262125518115742e-21
0.24,1.2696241251697612e-19,-6.0081598999202378e-20,-5.8829238266334559e-19,-5.3886623575802567e-19,-7.5178224682524026e-20,-8.255998298244719e-21,-4.7624720481131276e-21
0.2425,1.3791114613168775e-19,-5.9133351244766883e-20,-5.5214171666344455e-19,-4.7489806641700491e-19,-7.3470024319258202e-20,-5.7412941369798754e-21,-4.487209898284308e-21
0.245,1.2929835781960106e-19,-6.0557317447791238e-20,-5.174066716619291e-19,-4.0196422365231841e-19,-6.5235093426974718e-20,-3.1231086140937496e-21,-2.3679403777857233e-21
0.2475,1.0772181650104801e-19,-6.3909663091237367e-20,-4.8689262403230333e-19,-3.3571992718938384e-19,-5.2796731022282882e-20,-1.1851873246987665e-21,1.4032040223204704e-21
0.25,8.2697367780942486e-20,-6.9044288988226115e-20,-4.6429629471552308e-19,-2.8603666320491911e-19,-4.0318082769612899e-20,8.4223166490332345e-23,5.5154189639669198e-21
0.2525,6.0367564253817014e-20,-7.6230243706091556e-20,-4.518002844570305e-19,-2.5790803735419121e-19,-3.2054196074853564e-20,9.6282603098962779e-22,8.2953459025326873e-21
0.255,4.3376200474532813e-20,-8.4697460798091219e-20,-4.4999382020510447e-19,-2.5206293774909779e-19,-3.1188534264975026e-20,1.4016349123673943e-21,8.6798384378490622e-21
0.2575,3.1257429986418403e-20,-9.3551962372299879e-20,-4.5892583447198182e-19,-2.6656606127018905e-19,-3.9199613923761484e-20,1.2335810246512265e-21,6.9744979784913527e-21
0.26,2.2502448743229528e-20,-1.020808614788841e-19,-4.7646578676910992e-19,-2.9675369302685542e-19,-5.5653905510994741e-20,3.997498907389825e-22,4.3668140766252341e-21
0.2625,1.5763722512788175e-20,-1.0965960799676547e-19,-5.0027102536775618e-19,-3.3679820389813674e-19,-7.8523051927285918e-20,-1.166826461261271e-21,2.12263072460326e-21
0.265,9.3770802635718629e-21,-1.1570217959794724e-19,-5.2787266306003119e-19,-3.7942911017565997e-19,-1.0478433262522803e-19,-4.2412146947804761e-21,7.5994986692493039e-22
0.2675,2.0332954527009237e-21,-1.1938708057454614e-19,-5.5683369217780151e-19,-4.1796749189892345e-19,-1.3085931995280179e-19,-9.828571549355483e-21,-2.4205652335311656e-22
0.27,-6.1124483218542281e-21,-1.1951764605059373e-19,-5.8403728110254405e-19,-4.4712780402792201e-19,-1.531399641767229e-19,-1.8094915119892567e-20,-1.728505784698043e-21
0.2725,-1.2959148447048065e-20,-1.1571048336812207e-19,-6.0756406422275961e-19,-4.6536377057924114e-19,-1.6862332674157263e-19,-2.7393121208356795e-20,-4.0016782439925396e-21
0.275,-1.5215767845681458e-20,-1.0766808055508207e-19,-6.2563722873790365e-19,-4.7230958875013937e-19,-1.7573104760480144e-19,-3.4701508861371391e-20,-6.4554962263577668e-21
0.2775,-1.0411107311247621e-20,-9.6698878934275454e-20,-6.3755649732342936e-19,-4.7127779237334625e-19,-1.7463867084961565e-19,-3.7275905230118635e-20,-7.9428168132061039e-21
0.28,1.4724254216620031e-21,-8.5321796561712999e-20,-6.4349116897459971e-19,-4.6556552214214534e-19,-1.6727599940515741e-19,-3.4205360796433552e-20,-7.5958349224914095e-21
0.2825,1.762592900728385e-20,-7.5369555594991891e-20,-6.4297310420892228e-19,-4.5926299244811023e-19,-1.5667401192129627e-19,-2.6930342047183807e-20,-5.4283441947733688e-21
0.285,3.3761650205650104e-20,-6.8616694614620688e-20,-6.3524885853038747e-19,-4.5528062444384056e-19,-1.4594072270561598e-19,-1.8497343341857862e-20,-2.40636921409076e-21
0.2875,4.6060955938752771e-20,-6.5013973921408103e-20,-6.202538132281529e-19,-4.5533965659584092e-19,-1.3764882631426702e-19,-1.2083547944785233e-20,1.0833246689017534e-22
0.29,5.2235645210437306e-20,-6.3875672887739704e-20,-5.9880138254396095e-19,-4.5970963332706325e-19,-1.3338441102752035e-19,-9.6376022966513198e-21,1.1711888942392819e-21
0.2925,5.1848244885396499e-20,-6.3979010834322973e-20,-5.7095534754043387e-19,-4.6678109380152e-19,-1.3355588365982276e-19,-1.1209230193156277e-20,7.6919535482468875e-22
0.295,4.6322645073324539e-20,-6.3852882664440057e-20,-5.3860738736153063e-19,-4.7427307090300049e-19,-1.3737738265609977e-19,-1.5324738046544749e-20,-3.9941498582834897e-22
0.2975,3.8247232659609499e-20,-6.2395280124405164e-20,-5.0307690133813292e-19,-4.7930527278159965e-19,-1.432141950898581e-19,-1.9884413049947219e-20,-1.6233220113421816e-21
0.3,3.0651553822518417e-20,-5.9444107941897917e-20,-4.6642241449114511e-19,-4.8015026957170365e-19,-1.4910151160537389e-19,-2.3315285600110147e-20,-2.9779143474794493e-21
0.3025,2.5731889416276993e-20,-5.5221968728137364e-20,-4.2978247555780216e-19,-4.7541216038363478e-19,-1.5308393299570219e-19,-2.5099061839989893e-20,-5.1402712500779014e-21
0.305,2.3893544138475996e-20,-5.0551408778434364e-20,-3.9516762231711809e-19,-4.6628997700989022e-19,-1.5377824304695974e-19,-2.6059504257297838e-20,-8.6231134109025754e-21
0.3075,2.3930810194396205e-20,-4.6114282860231965e-20,-3.642261614962699e-19,-4.5504526051912231e-19,-1.5048863371373474e-19,-2.6490955886405393e-20,-1.3015603563962029e-20
0.31,2.4211579606261707e-20,-4.2365498671657074e-20,-3.3836567488672856e-19,-4.4482213448909085e-19,-1.4341322742662449e-19,-2.6248345622680281e-20,-1.6901710329348274e-20
0.3125,2.380115565376047e-20,-3.9594990656704042e-20,-3.1868309851181239e-19,-4.3937204040722091e-19,-1.3369965961161537e-19,-2.4892415582028036e-20,-1.8419036151072294e-20
0.315,2.2404948358679951e-20,-3.7636673662883149e-20,-3.0573762204686922e-19,-4.4183737674690973e-19,-1.2324652109286518e-19,-2.2114135374103324e-20,-1.6297547113110765e-20
0.3175,2.0438874397798992e-20,-3.6444804093902731e-20,-2.9911584935595931e-19,-4.5449135287748988e-19,-1.1416818794951529e-19,-1.8140150869162029e-20,-1.0648310977032332e-20
0.32,1.8293303574582378e-20,-3.575483856076916e-20,-2.9841615127025236e-19,-4.7868677183939222e-19,-1.0842204391061406e-19,-1.3804119343336361e-20,-2.9287451500544272e-21
0.3225,1.6205512558949483e-20,-3.5228750408934301e-20,-3.0237303251740235e-19,-5.1443262644582671e-19,-1.0754334038062742e-19,-1.0353964648592401e-20,4.5604982160504839e-21
0.325,1.4192980672199072e-20,-3.4637380361531819e-20,-3.0969625732853902e-19,-5.5989960760206533e-19,-1.1245780021738572e-19,-8.852742278235932e-21,9.7095274900433765e-21
0.3275,1.223638924721867e-20,-3.3978845663380197e-20,-3.1878910708845844e-19,-6.1103334124244731e-19,-1.2348331315181726e-19,-9.7983846909985283e-21,1.14209672881775e-20
0.33,1.0416617150928811e-20,-3.3441866151178693e-20,-3.2804726613725867e-19,-6.622786887222777e-19,-1.4039422641593091e-19,-1.3019778352545891e-20,9.9838843295597778e-21
0.3325,8.8013956135633728e-21,-3.3189623646823726e-20,-3.3594980729528081e-19,-7.0800571093967688e-19,-1.6237031737901565e-19,-1.7821133531503535e-20,6.7153682990728335e-21
0.335,7.4294667147205169e-21,-3.3295590333567841e-20,-3.4149967889232553e-19,-7.4378003451754306e-19,-1.8791161536588755e-19,-2.3396993707968752e-20,3.1578685902252629e-21
0.3375,6.3156397704976505e-21,-3.3528073979820013e-20,-3.429449286676181e-19,-7.6565942413128128e-19,-2.1486970415617941e-19,-2.9042006234240997e-20,4.1393777973682638e-22
0.34,5.5089987829358976e-21,-3.3663588547751797e-20,-3.4014559194310549e-19,-7.7249958368298862e-19,-2.4065932534972811e-19,-3.4297803610525851e-20,-1.2071023037419316e-21
0.3425,5.0117283987892587e-21,-3.3598076295584864e-20,-3.3281627635434441e-19,-7.6249433955649815e-19,-2.6270777092899171e-19,-3.8813098871520495e-20,-2.1042490728446977e-21
0.345,4.8196148639768739e-21,-3.3132408309006588e-20,-3.2165391822791334e-19,-7.3822795912920938e-19,-2.7883578720896873e-19,-4.2126908174910584e-20,-2.7378470595485084e-21
0.3475,4.8879705606226359e-21,-3.218499193342056e-20,-3.0776690618745209e-19,-7.0439899743628573e-19,-2.8800140825526311e-19,-4.3574984028529287e-20,-3.2562937020046718e-21
0.35,5.1363254082869445e-21,-3.0943970884545532e-20,-2.9230535254181951e-19,-6.6467534288566803e-19,-2.9020220324928903e-19,-4.2581310914776083e-20,-3.3385274183143358e-21
0.3525,5.527214864143474e-21,-2.9499732965383257e-20,-2.7613331133036501e-19,-6.2199997700088727e-19,-2.8639583657598639e-19,-3.9010327710468005e-20,-2.5851532362267255e-21
0.355,6.0418967777398273e-21,-2.800547940404144e-20,-2.599989455938895e-19,-5.792921051084156e-19,-2.7836754618689742e-19,-3.3493236763857826e-20,-8.7436135999068759e-22
0.3575,6.6891406909507449e-21,-2.6552224839055829e-20,-2.449641382875905e-19,-5.3961544241633646e-19,-2.6809847512697261e-19,-2.7391559679118267e-20,1.3813061295296541e-21
0.36,7.4764929863767758e-21,-2.5109598364423474e-20,-2.3152594212301426e-19,-5.0460217992695773e-19,-2.5769801400627439e-19,-2.2368737171595673e-20,3.3884702742758633e-21
0.3625,8.345583547787086e-21,-2.3728380319267346e-20,-2.2004298826132466e-19,-4.7564793385118156e-19,-2.4888442721265658e-19,-1.9798983862877227e-20,4.3217933174384578e-21
0.365,9.1867225730326975e-21,-2.2308172392532919e-20,-2.1038701325069966e-19,-4.5378976192001322e-19,-2.4293992135361683e-19,-2.0302513093480445e-20,3.6929979720962996e-21
0.3675,9.9201078765447924e-21,-2.096220455331739e-20,-2.0262212858028891e-19,-4.3961672999466488e-19,-2.4051287026456232e-19,-2.3596630751661349e-20,1.586846298705721e-21
