Physical Time (s),xth_right Monitor (W): right_cv1,xth_right Monitor (W): right_cv2,xth_right Monitor (W): right_cv3,xth_right Monitor (W): right_cv4,xth_right Monitor (W): right_cv5,xth_right Monitor (W): right_cv6,xth_right Monitor (W): right_cv7
0.06,1.1357622098692182e-13,-1.0915842816286073e-16,2.0565180775296435e-17,-8.5761278228466828e-17,-3.4950422993204988e-16,7.8496904599184688e-17,2.5433550402337233e-16
0.0625,1.3109186411238447e-13,2.1067849856433209e-17,1.9572598250287785e-16,-8.3420144685893146e-17,-2.7452905303293527e-16,7.2754375481823052e-18,1.1905004683140597e-16
0.065,1.4738479274605673e-13,2.749304118786217e-16,-2.2281026308012632e-17,6.2051808231490466e-17,3.0859111598157671e-16,-1.1012162324495865e-16,1.429189920617287e-16
0.0675,1.6105178227635845e-13,-2.210680317692918e-16,-4.9068636203506449e-17,1.7934847096426118e-17,8.3085331520432452e-17,3.6610931619843209e-17,1.2496061457163734e-16
0.07,1.7265384644415729e-13,1.3988290903843238e-16,2.8703885261250702e-17,-1.0535908593969992e-16,8.036043635498073e-19,6.4493840996121597e-17,-1.9902441000805962e-16
0.0725,1.8224064491768449e-13,-2.7301824997078209e-16,-2.636090804795645e-17,3.3002264030193336e-16,-2.1610300900439902e-16,-4.5619362999603884e-17,1.2926441111349339e-16
0.075,1.879081818064037e-13,-1.4773002922147877e-16,-1.224718123602286e-16,-2.0647522413874969e-16,-1.8836215432991137e-18,2.4280909218726722e-17,-5.6062382426740813e-17
0.0775,1.9154924391461295e-13,3.4000688968943879e-17,-1.3204378513431368e-16,-4.115258854505023e-18,-6.2181148100950611e-18,3.1030057253540016e-16,-1.5049456978492249e-16
0.08,1.919868020994637e-13,-1.2573360201123178e-16,-1.5752480978551113e-16,-2.8822361014914211e-17,-2.2903178228283041e-16,2.9523288534862941e-17,4.5951377537255243e-17
0.0825,1.9052365241549658e-13,1.9725372358074385e-16,4.0146133912799964e-18,1.0154167697845246e-16,-2.3753577746704127e-16,5.5777053992698719e-17,3.615446401716421e-17
0.085,1.8640118516027298e-13,1.9608897332906304e-16,1.8861584563089356e-16,-9.3106697505854606e-17,-2.0310351846000967e-16,2.2486193545513576e-17,2.0109998788906566e-17
0.0875,1.8159618470797359e-13,3.8156332614007763e-17,-1.5638568851654051e-16,1.3857042391125261e-16,2.0315786734257151e-16,6.9231392248744598e-17,1.1002437706346002e-16
0.09,1.7636758867777754e-13,1.0866886711298346e-16,6.3223968898818457e-18,-1.2802325150861556e-17,1.0225491733055169e-16,7.9790144263422512e-17,-1.4808089929333423e-16
0.0925,1.7237407083044055e-13,1.0715420926999584e-16,9.0450029854527827e-17,2.3199066709488223e-16,-1.0210317805716137e-16,1.0145122412508441e-17,-7.1461380497888973e-17
0.095,1.6984087376621156e-13,-1.9619413537430941e-16,-2.3927420815410993e-16,-8.1582599677732471e-17,-1.9675975085815744e-17,1.3571462856022802e-16,-4.4670969117358933e-17
0.0975,1.6898247648718619e-13,-7.2226482291267469e-18,1.9283961142447978e-16,-2.064015291351874e-16,1.4393789167866385e-16,-6.1063587178251858e-17,1.0116899687608914e-16
0.1,1.7035260521986612e-13,2.7455019594149416e-16,-3.0003139452454408e-16,7.9638973531493133e-17,-1.7682593662928129e-16,-5.6502856749101186e-17,2.374314045214778e-16
0.1025,1.732344135883246e-13,4.7644030183844457e-17,-1.2134506897730309e-16,2.3948304492191603e-16,-5.9224324755509192e-17,2.2866940629572251e-16,1.4121079032098182e-16
0.105,1.780336579820552e-13,-1.4613247603168399e-16,7.3543316284225793e-17,-4.2877114455230749e-17,1.2537483200926553e-16,-7.046251267934741e-17,1.23025192157255e-16
0.1075,1.8377946335161601e-13,1.9609345054500568e-16,-7.1888652893771684e-17,7.3754190670060733e-17,6.9507744461666928e-17,-2.3076565351760014e-16,-2.3709706585515977e-18
0.11,1.909212732091965e-13,-9.060152917931285e-17,-2.61893355147597e-16,8.0067292390631825e-17,5.589682631235483e-18,-2.3573447145342486e-17,-5.422555672496554e-17
0.1125,1.9845327078366359e-13,-1.8135042222533966e-17,-2.9380214709528109e-16,-5.571636463667947e-17,-7.9007297885068073e-17,-1.3429039848023645e-16,3.4927161517729679e-17
0.115,2.0628284191053291e-13,2.3466375510223003e-16,2.077257248049631e-17,9.8205445668939951e-19,8.2979640452131841e-17,-3.2726509342072599e-16,1.2533910246734759e-16
0.1175,2.114994440930653e-13,8.1555698139678333e-17,-7.3110963485720028e-17,6.3862576383222764e-17,-5.5507726701153962e-17,7.9364299754319143e-17,-2.6392983637619101e-17
0.12,2.1710910937571145e-13,1.0599859212304681e-16,7.0805651239860911e-17,-4.3200611936354476e-17,-1.2187393342184597e-16,1.7966482119781398e-17,1.6846296136239655e-16
0.1225,2.197156314924575e-13,3.0968526682814242e-16,4.5370812398770832e-16,-3.8790827369261376e-17,2.3411275744914324e-16,1.2230980045798286e-16,2.7114361752753533e-16
0.125,2.1947645996756719e-13,5.8496445639139704e-17,9.4565883974053387e-17,5.0097776749163136e-18,-9.5349961496576539e-17,9.4058719112247889e-17,2.9372638962476747e-16
0.1275,2.1694144272375664e-13,-9.8187693407212938e-17,9.0560643319435817e-17,2.782220156672677e-16,-3.6174955729974504e-16,1.0856211495865834e-16,-1.2255578701824423e-16
0.13,2.1229700823893695e-13,3.4860971987969931e-16,1.8883015990102557e-16,-8.8118400033027311e-18,1.2794479913421548e-16,1.4260883747932931e-16,-9.6799723195114885e-17
0.1325,2.0515147352216626e-13,3.2092816203482066e-16,-4.01701872645894e-18,-2.1208118119845706e-16,-1.3219712903194067e-18,5.5203070316819603e-17,5.1247565449632981e-17
0.135,1.9817614060278771e-13,4.2459102228938131e-16,-1.1663800942813888e-16,6.0084349879414747e-17,-8.0311768356882749e-17,-1.261862104157617e-16,1.1522823341433777e-17
0.1375,1.901281332905902e-13,-1.2334175104794206e-16,2.516660697468302e-17,-1.3392101772962462e-16,-1.3549769103174864e-16,4.2508681585920753e-17,2.58184065394198e-17
0.14,1.8227207867964306e-13,7.0264821406123641e-16,-1.0953052453006186e-16,-1.7176011205618193e-16,1.5889295946543446e-16,-2.1066500731559126e-17,-1.593134616527085e-16
0.1425,1.7393107378468797e-13,5.4323549912922077e-16,-2.1349320289289623e-16,1.358631736307035e-16,-2.3165151279585877e-17,-2.4369256533990996e-16,6.8433464026833098e-17
0.145,1.6562142553371736e-13,1.1184488616869389e-15,-6.4600850001939069e-17,2.1264805758469309e-16,2.016215230012424e-16,-1.4267929708744272e-16,-8.325319852186505e-17
0.1475,1.5803987965379586e-13,1.1239233528673014e-15,9.018187576755058e-17,-1.1241807384518104e-16,-7.5020907317705529e-18,9.9103125289006948e-17,-1.1891069027683497e-16
0.15,1.501597613551755e-13,1.0772132111851854e-15,9.9608379180054846e-17,-4.3480791688287747e-17,4.8857761813386971e-17,-9.012954111757808e-17,-2.3866322406277204e-16
0.1525,1.4238104904294791e-13,7.1111218613138848e-16,3.3536744518086616e-18,-1.0996036965705857e-17,7.0299876896997474e-17,1.1380187017407959e-16,3.3261632415873407e-16
0.155,1.3444986293688146e-13,1.0509650028689358e-15,-4.7420867811087526e-17,7.4580615114071416e-17,-7.1275139460700305e-17,-4.6696648891563184e-17,2.3316579726384085e-16
0.1575,1.2682765312372476e-13,2.2665338200243422e-15,1.3138843332030513e-16,-7.4141524216945781e-17,-1.3925658537496013e-16,-1.1383586565253238e-16,-2.5175116497701761e-16
0.16,1.1922375692024447e-13,2.3802049024092098e-15,2.4229448602592812e-17,4.0329846823592533e-17,2.2247750812958197e-16,2.7847069862738482e-17,-3.3794733714915375e-17
0.1625,1.1337824038382052e-13,2.6461591107632412e-15,1.0158497615742199e-16,2.2421136542978463e-16,-6.24180671848108e-17,1.3972752026300382e-16,-5.0551484878547771e-17
0.165,1.0621394911648526e-13,2.917124554749468e-15,1.3577150923066003e-16,1.9302986447822225e-16,-3.886123432221435e-17,-2.3865563783913556e-16,-1.5446020650917716e-16
0.1675,1.0070567554146125e-13,3.6093131411939383e-15,5.4157943535288004e-18,5.4483037614914596e-17,-1.3257415431101669e-16,-1.9354994932367969e-16,-1.5664131392233428e-16
0.17,9.6360798451219363e-14,4.5370271679989407e-15,2.9702765140422477e-16,-6.4935343469917353e-17,5.6500791363834908e-17,-4.2844114530538628e-17,-5.4772490590694709e-17
0.1725,9.2367384514722911e-14,5.6319081607632087e-15,-1.4863711357738223e-16,2.9442581128402713e-17,1.2918065211948751e-16,1.0253976931382273e-17,9.7667508565669335e-17
0.175,8.7760286431227452e-14,7.0460845917966349e-15,5.131617086308844e-17,6.7293352900961893e-17,2.2156302986607653e-16,-1.0834029437648113e-17,2.1065591089158204e-16
0.1775,8.4279036533989834e-14,8.6118978652678441e-15,-3.0275235807280606e-16,1.4226725814914579e-16,-2.3454522653309364e-17,9.4157536618998056e-18,-3.6566435669104731e-16
0.18,8.1455650110057798e-14,9.9006157887977747e-15,-1.6798181039611688e-16,-1.9741399654215514e-16,-1.5817951757583569e-16,1.2409321358929653e-16,1.4608242098305098e-16
0.1825,7.8513126302930934e-14,1.1902647866977269e-14,9.210408855086148e-17,6.8820659618689691e-17,-4.2855861811358051e-16,-4.0651576279917024e-17,6.7628294416592704e-17
0.185,7.5732337541687003e-14,1.4711771833403868e-14,6.846102326804545e-17,1.4959673532401246e-16,-3.2252798359486287e-17,-1.7792116912402023e-16,-1.5282175150353513e-16
0.1875,7.3775312870994453e-14,1.7736344694304646e-14,-1.5112562598452789e-16,-2.5663903932806226e-17,1.5627805331724634e-16,1.3523415598325169e-16,-1.3097293403402907e-16
0.19,7.1658244835386402e-14,2.0134724318981148e-14,-1.5302903647645368e-16,-1.3995137272055149e-16,1.0779177556873861e-16,-6.8182139829292191e-17,1.467230494929983e-16
0.1925,6.9481677959183868e-14,2.4129440005384096e-14,-3.9695218947152229e-17,-1.4725862188247377e-16,-2.8234740893666495e-17,1.5601533115472377e-17,-5.7366368357526178e-17
0.195,6.7987703127599248e-14,2.7748130480041782e-14,2.3624561946528404e-17,-8.3709176536852957e-17,-2.5092017735545136e-16,2.645365671184749e-18,2.1865880914623882e-16
0.1975,6.6109084654454452e-14,3.1454876158988422e-14,2.0294060800991238e-16,-1.8754793099687533e-16,-6.6023025828808189e-17,-2.4775381942534223e-16,2.0162107237702853e-16
0.2,6.5408426011509709e-14,3.4969459037842495e-14,1.0641699591412972e-16,6.1498358212865337e-17,-1.7698387678460932e-16,-2.0012296171109693e-16,1.5183952849530901e-16
0.2025,6.4660575414773651e-14,3.8235233485083044e-14,-4.9492010867796213e-17,-3.9600041010152016e-17,-2.2207415224495182e-16,-1.7248769019635649e-16,-3.7575270101885607e-17
0.205,6.4336659967210184e-14,4.1375993499138048e-14,-1.8408845438650468e-17,-3.629066695909869e-17,-1.7579956013464768e-16,1.6817028579259464e-17,5.8763569579869202e-17
0.2075,6.4295683174417843e-14,4.4587209689280052e-14,-1.5144853535137319e-16,-9.0637684040028942e-18,-5.7034142029499104e-17,-1.0764109739604501e-17,-9.4097483105514889e-17
0.21,6.4525901702332056e-14,4.771140640874391e-14,-1.8118428571203383e-16,3.1292347508315839e-16,-2.4263745879508325e-16,7.7522182784488426e-17,4.6984010134481735e-17
0.2125,6.481754273809697e-14,5.021962587764545e-14,2.9127884997477108e-16,-1.9607187916511587e-16,-1.1084488381930083e-16,1.7372674333192668e-16,-3.6250952999607644e-16
0.215,6.4898968085531445e-14,5.2153005881049891e-14,-5.1571210096251056e-16,6.3569402655985891e-17,1.8720356547116753e-16,-9.3344462579730235e-17,3.0899250721249344e-17
0.2175,6.5755782576928644e-14,5.3569057740291281e-14,1.7844318994203875e-16,-1.4238595136682463e-16,1.3339172532005018e-16,2.1631296936915495e-16,-2.6503390254772877e-17
0.22,6.6059078533608236e-14,5.5755437299532223e-14,2.8251204471871356e-16,5.8436588028849003e-17,-1.3203889443902866e-16,8.762197091728095e-17,-6.2647104121790412e-17
0.2225,6.6146746469256768e-14,5.7404408462908175e-14,-1.1629458324500906e-16,-2.7137891654039558e-17,1.1465707122194826e-16,8.8650426814145512e-17,-2.5344584188003295e-16
0.225,6.6664591856447393e-14,5.8721348361020993e-14,-1.1041777921481034e-16,-1.1450993040042244e-18,6.0331611498560671e-17,-2.5330399641571284e-17,-1.6218758749960736e-16
0.2275,6.691650454395624e-14,6.0523455954168999e-14,-5.7472962780535303e-17,1.0364133804187477e-16,-1.3870018784685283e-16,4.3391611145632365e-17,-1.5420426406869097e-16
0.23,6.737196212222652e-14,6.2115665759838544e-14,7.6348834075019739e-17,-4.4833829564070466e-17,1.9723755973593781e-16,-3.5157708466094686e-17,-9.5122575988672455e-17
0.2325,6.798550979372717e-14,6.4187478300594314e-14,-3.1100431172353825e-17,-1.7922233062290385e-16,4.2864918351142981e-17,-1.6115251959362033e-16,2.7269210823536925e-16
0.235,6.8213446617246353e-14,6.5475442134571305e-14,-1.7710419205541865e-16,2.3131868865561579e-17,-1.1977455213347391e-16,-6.1551245095457551e-17,-1.3568932419582325e-16
0.2375,6.8901967613767769e-14,6.774963776397431e-14,-2.7187574772109451e-16,1.5286588181621597e-17,-4.2523794013299589e-17,2.5223299651450285e-16,1.0076427675468699e-16
0.24,7.0375774601345881e-14,6.982982459820515e-14,4.4979155299777668e-17,7.2064194993116538e-17,-1.0218675453588846e-18,1.0544058660701834e-16,-1.1042346690543769e-16
0.2425,7.1429445090653318e-14,7.1348355940845251e-14,-2.4704080739059117e-16,1.4789140206704332e-16,2.2830767437774527e-16,5.6206218070358608e-17,-9.5676173904225963e-17
0.245,7.2271972441429526e-14,7.3890689459280281e-14,6.3394883721094745e-17,1.0987268587074408e-16,-4.0846794833710455e-17,-7.3002560415409171e-17,-3.9572622353365331e-17
0.2475,7.3715446128515854e-14,7.6293921600313749e-14,3.8174289915518621e-17,-1.0954530016617449e-16,-1.4299557682144681e-16,-1.143429546147198e-21,8.2089117057823845e-17
0.25,7.4212915927699382e-14,7.855429590638729e-14,1.008748701498682e-16,1.0986410252847514e-16,-1.3034635407150394e-16,-6.1256975443344375e-17,-4.6521774968561751e-17
0.2525,7.5752423159086062e-14,8.1297686443291997e-14,-1.0763015267112435e-16,-1.6852113392258375e-16,2.1360657402552625e-16,-1.4308786296527649e-16,-1.4157355973320106e-16
0.255,7.6644811774736673e-14,8.3548923265161311e-14,4.0293398252390228e-17,-1.6629820175318628e-16,-2.1228368030267446e-16,-4.014593361995231e-16,-1.5165588475586173e-16
0.2575,7.7620894541270364e-14,8.6746110243761051e-14,4.5363339054629231e-16,-3.0093374887735623e-16,-1.4235467729404967e-16,-2.3241379664633912e-17,-7.4497609245662768e-17
0.26,7.9331689040557201e-14,8.8708754646096499e-14,8.3955635746075096e-19,1.532388733288105e-16,5.1926973316308601e-16,-1.7215374837569956e-16,-6.072693375088402e-16
0.2625,7.9522731914105845e-14,9.079241467506443e-14,-1.3664415595326066e-16,6.7082006734439439e-17,5.0106247669443193e-17,1.5024082692401006e-16,-4.6347952991550134e-16
0.265,8.0725795172987257e-14,9.2881093581902581e-14,1.9360357308844633e-16,-1.3359271091786384e-16,1.6320133333689595e-16,-3.0425978988992592e-16,-2.6314151316508932e-17
0.2675,8.2356863445273326e-14,9.4812219215301649e-14,-3.7226905206250888e-17,-1.8986039215356345e-16,-1.3971703150004329e-16,-1.0665021230778692e-16,-4.2491634015899253e-17
0.27,8.2759258113313962e-14,9.5786913353622976e-14,3.5880908661457056e-18,5.3226841090831184e-17,1.0810672456835934e-17,2.5315951711358812e-16,3.0909316829482892e-16
0.2725,8.3663032214358048e-14,9.6807214819347189e-14,-2.8540298577809536e-17,-1.0166736653837083e-16,-4.9277255356370932e-17,-1.7367405700822212e-16,-6.1173254153391811e-17
0.275,8.4252373206993419e-14,9.7633736269810175e-14,2.5851343427958077e-16,5.6611143922838279e-17,2.8106542427110069e-16,-2.7188883904202564e-16,-7.7912369443398183e-17
0.2775,8.4873556526335783e-14,9.7916510094966936e-14,-2.5954903569644242e-16,-1.3545933109109623e-16,-1.2074094607828825e-16,-1.3609174346926429e-16,2.1065515581159604e-16
0.28,8.538844669160986e-14,9.7934193085635826e-14,-2.4453847414033808e-17,1.7126409786643693e-16,5.1379813411760552e-17,2.3523964521706254e-16,-4.1676283316029248e-17
0.2825,8.6216428993484668e-14,9.7150477930461908e-14,-2.1075386446160913e-16,-2.251720586040848e-17,1.0565890174379261e-17,1.6926065415340288e-16,4.3096555358520103e-17
0.285,8.6459507544511857e-14,9.621005240074532e-14,-2.9742822790717135e-17,1.0318648992792663e-16,5.7355285760324794e-18,-2.7537144030621688e-16,3.2290642542781831e-16
0.2875,8.6833474218109766e-14,9.5201958874473974e-14,-9.6044009188454891e-17,-4.8039292390423958e-17,-1.5879071446700695e-16,-2.5290635696731681e-16,3.8830677423282163e-17
0.29,8.6831267697702588e-14,9.3916701045466004e-14,6.9220240448386024e-17,-1.6173823192003608e-16,1.2330105232029247e-16,-1.4011315226705536e-17,-1.5939415183905649e-16
0.2925,8.7365083168976915e-14,9.2541886079787302e-14,-4.1754748276522589e-16,4.1446795295257761e-17,1.180832149161541e-16,1.3639830320266298e-16,-2.262960632223404e-18
0.295,8.7183487725599269e-14,9.0015531804685967e-14,2.3991056934267158e-16,4.1319222661590259e-18,1.7081796828866276e-16,-9.8613181859879443e-18,-3.2980352411239689e-16
0.2975,8.7554258775415377e-14,8.8138615418685004e-14,-9.0105564398190658e-17,-6.498446126797148e-17,2.1077807091626076e-17,1.906942678442871e-17,-1.2346791484714843e-18
0.3,8.8030268137245749e-14,8.5563950646838274e-14,9.4171318589350492e-17,-3.7130860822792852e-16,-1.3008756532231139e-16,1.9858228357281429e-16,-1.3487664802734143e-16
0.3025,8.7850848122197064e-14,8.3540577289968046e-14,-2.4231898467880152e-16,-2.1160772878519544e-16,7.7632317919478579e-17,8.7665968340638224e-17,-1.0079030824995026e-16
0.305,8.7735937375339116e-14,8.0785487876794739e-14,-1.140476600843404e-16,1.1066114587779329e-16,3.2148897507586121e-16,-1.2003301304131921e-16,-3.9767969210291635e-17
0.3075,8.8017623684430582e-14,7.7081227616242171e-14,-5.0458844270530839e-17,1.265195025031994e-16,1.9758147353843229e-16,-2.1742030869464236e-17,1.4052378997042373e-16
0.31,8.8805110403385348e-14,7.486485937128353e-14,-6.5568851725002741e-16,-7.5897112261745752e-17,-9.6592990504048086e-17,-4.0921184160651932e-17,-1.7607030486030739e-16
0.3125,8.9060345227677534e-14,7.2065342951161509e-14,5.3588560898999162e-16,5.0626156277022921e-17,-2.959172396503581e-16,-7.3366176535508429e-19,7.8374302728161913e-17
0.315,8.8958983486818516e-14,6.9367078307214326e-14,-3.3963588012995873e-18,-3.2552133058212834e-17,-8.4905737405958276e-17,-1.1176646973748803e-16,3.1145465673961861e-17
0.3175,8.9758537006750761e-14,6.6330958714878321e-14,-2.4024660035906851e-16,3.0573398735402367e-16,-2.7792615287322184e-16,-3.5001392645010051e-16,-1.4342759984831337e-16
0.32,8.9307265281665607e-14,6.3291710732520796e-14,6.7522311373375123e-17,5.057120177320754e-17,-5.3775113484751955e-17,1.231119902762949e-17,-1.7710070936672261e-16
0.3225,8.9141478010088318e-14,6.0432872537511723e-14,-1.9970743301391957e-16,1.6574422967132888e-16,-4.2470708524973964e-16,1.0407715787285629e-16,2.0405489322906174e-16
0.325,8.9173378884290707e-14,5.8725608744548204e-14,2.9468119599381502e-16,-2.9053529877745053e-16,3.6596041845637015e-16,-4.9234855514998797e-17,-4.4440574922140016e-17
0.3275,8.9525426054028807e-14,5.5616320098680479e-14,6.5475500556191265e-17,3.5853290169956759e-17,-1.012122019947365e-16,3.8299295572231669e-16,1.3372627247462416e-16
0.33,8.9472615009551236e-14,5.3171569828596634e-14,3.5598917122453768e-16,1.5790944697926599e-17,4.9423515706567508e-17,-4.5840516899727919e-17,7.9108497848762745e-17
0.3325,8.9867937873231951e-14,5.0984602089465143e-14,-2.0680302658203207e-16,1.4617800145268512e-16,-7.9804653688120023e-17,-4.7594717759605771e-16,1.4948572232144342e-16
0.335,8.9537182484835722e-14,4.844294145892714e-14,1.7491865976551389e-16,-6.331470845865454e-17,2.6161742137462717e-16,-1.6209372899641289e-16,3.7791183355379947e-16
0.3375,8.9214253421600732e-14,4.5643868629012896e-14,-1.471063142117659e-16,6.5935332390731259e-17,-3.0659873372350837e-17,4.4449250006753093e-16,2.0967094342341118e-16
0.34,8.9462257667423653e-14,4.4346793889921092e-14,5.1440239708960172e-16,-2.8456928873595802e-17,-2.1683881631546382e-16,3.0417489901614626e-16,1.2759086170098509e-16
0.3425,8.8441909106965516e-14,4.2265079232834425e-14,1.1411973525634091e-16,1.9284273587698061e-16,2.3356282281571878e-16,8.6478969382704055e-17,3.8278792752315453e-16
0.345,8.8780314194752461e-14,4.0484572203122985e-14,2.9662292482443126e-16,1.123107445654721e-16,1.0285941242469301e-16,4.0108962295867445e-17,3.0258504720595383e-16
0.3475,8.8701648240706804e-14,3.8642462900747677e-14,-9.7725132186643002e-17,-1.5039006242452825e-16,2.2113886420653936e-16,-1.2147495424391752e-16,3.1262675828454118e-17
0.35,8.8503138555271686e-14,3.7375041211654893e-14,-1.3655963545096001e-16,3.1840068689031715e-16,2.3884199410416215e-16,4.3852559338059205e-17,-2.6239388796869594e-16
0.3525,8.8553728431595681e-14,3.5625167898203616e-14,2.0353542755610387e-16,-5.0364871846844523e-19,1.0651345348700225e-16,-5.2648627614072273e-18,-5.6741470713607931e-17
0.355,8.8572057164223571e-14,3.4160318346313619e-14,7.0446576714132024e-17,-4.6590079209176304e-17,4.0979798562112254e-16,1.4946763283343523e-16,1.3197932534467995e-16
0.3575,8.8660941221957109e-14,3.2893584967115447e-14,2.130435485050036e-16,4.9374872314244617e-18,-4.1548233688238134e-18,-4.9386201003409784e-17,-2.3819523318976289e-16
0.36,8.832732276148592e-14,3.1828488405067203e-14,2.5014714009318952e-16,2.7325263725391972e-17,-2.8370536935349543e-17,-2.1811920326254017e-16,-2.2284044136632997e-16
0.3625,8.8285335751807259e-14,3.0745503545608871e-14,2.4976772547801537e-16,2.2329093276010229e-16,1.062823790656309e-17,-1.0469085012438537e-16,3.4747418298405466e-16
0.365,8.8093265249408137e-14,2.9814883812414631e-14,1.1693465310599921e-16,6.3173854142725572e-17,7.0493434078047976e-16,-1.9500554082390255e-16,-3.8845180012872137e-17
0.3675,8.8272251390685664e-14,2.864281772627091e-14,6.2268228029556742e-16,2.8894178902250203e-16,9.9563134284472701e-17,-1.3372775971212697e-16,-9.1579503404674356e-17
0.37,8.8038188133965338e-14,2.7747783729030637e-14,1.6991526572179178e-16,4.4998739521514733e-16,-4.0007196412751062e-16,-8.5840670599375883e-17,-2.9677424974163554e-16
0.3725,8.7752196034846385e-14,2.676774511378616e-14,8.7827063096732772e-16,4.2106828288263848e-17,-1.1037700004737958e-16,-1.0724363660417161e-16,-5.0139809025682947e-17
0.375,8.7709063789934057e-14,2.6146324434222099e-14,4.4302476323294504e-16,-3.2166391364798773e-16,-1.7423869156550101e-16,-2.9344641904474951e-17,5.3565609027666629e-17
0.3775,8.7698023990650203e-14,2.5470266842772509e-14,7.5872066351784958e-16,-2.8299222599657783e-16,7.48011823003281e-17,-2.1687085261885181e-16,1.44474303762813e-16
