Physical Time (s),ew_top Monitor (W): top_cv1,ew_top Monitor (W): top_cv2,ew_top Monitor (W): top_cv3,ew_top Monitor (W): top_cv4,ew_top Monitor (W): top_cv5,ew_top Monitor (W): top_cv6,ew_top Monitor (W): top_cv7
0.1375,7.711595472194038e-18,-7.4730369550993011e-20,-2.2137298785682399e-19,-9.4341623552451095e-20,-5.1020565342911927e-20,-4.1817272671141789e-20,-1.2160349989963878e-20
0.14,4.325936294500823e-18,-1.0242166190391431e-19,-2.8999861438791964e-19,-1.5472273691206337e-19,-4.5071227602713208e-20,4.4532470056620292e-21,-2.490284735923198e-21
0.1425,1.8764025619028106e-18,-1.2003928476929432e-19,-3.8624829730784587e-19,-2.4701039565922687e-19,-4.8160709249646147e-20,3.0650186006980708e-20,7.3764400815454937e-21
0.145,7.1872971280926461e-19,-1.3368850936323787e-19,-5.1128478806128187e-19,-3.603262729745982e-19,-5.6230694491755988e-20,4.1071399690289405e-20,2.4266148735392515e-20
0.1475,1.0413496250531759e-18,-1.4813480650577978e-19,-6.3566920999959678e-19,-4.6578557445526606e-19,-6.5890072786140051e-20,4.2729732973524418e-20,3.0017479459588069e-20
0.15,2.7883354520289732e-18,-1.5460360232176992e-19,-7.0906067989385609e-19,-5.2832728171329644e-19,-7.3806175795659177e-20,3.7400227191433722e-20,2.0452558357819765e-20
0.1525,5.6838933000339359e-18,-1.428104438435222e-19,-6.9950432971612767e-19,-5.2884008959163024e-19,-7.9223918050290755e-20,2.577683947104295e-20,1.384675011469685e-20
0.155,9.267295967173563e-18,-1.1760647557908332e-19,-6.1302775186414868e-19,-4.7742522372672761e-19,-8.308369672016036e-20,7.4795125555246389e-21,1.4735092819500359e-20
0.1575,1.2958364152343329e-17,-9.0765911317239023e-20,-4.8400968309094641e-19,-4.0261549676502507e-19,-8.6830285891211079e-20,-1.5459043069656513e-20,1.0699778702393523e-21
0.16,1.6200907841097733e-17,-6.9128448365804284e-20,-3.5508439975968523e-19,-3.2805089214953011e-19,-9.0330796340506822e-20,-3.6291836256972768e-20,-3.8150729808254403e-20
0.1625,1.8616028107907925e-17,-5.3425248016059387e-20,-2.5451460303398716e-19,-2.6582400936502251e-19,-9.2090457565282779e-20,-4.9724008209197963e-20,-7.6799100379089394e-20
0.165,2.0061133243776296e-17,-4.2108464959443203e-20,-1.8990790595174915e-19,-2.1893838045372207e-19,-9.0543511066893581e-20,-5.5223200445102212e-20,-8.1201296621269844e-20
0.1675,2.0625862406087728e-17,-3.4244217285985875e-20,-1.5689695031973161e-19,-1.8571779570887708e-19,-8.4649384170477435e-20,-5.86001713672553e-20,-5.520858503893378e-20
0.17,2.0591656728835022e-17,-2.9231470225447964e-20,-1.4703912272366695e-19,-1.6398464252021585e-19,-7.4265233097118241e-20,-5.6938122610741803e-20,-2.595038832225024e-20
0.1725,2.0302416492344616e-17,-2.6353376962833167e-20,-1.5164144330293207e-19,-1.5200892392224518e-19,-5.8840064254319347e-20,-3.7468715986046642e-20,-6.8946474870477143e-21
0.175,2.003717334584474e-17,-2.4942042026011554e-20,-1.6320158009812173e-19,-1.4673767645734204e-19,-3.8670496542452609e-20,6.7481646569483593e-21,7.1662832460699404e-21
0.1775,1.9921013686180156e-17,-2.4987534249791412e-20,-1.7440526664261879e-19,-1.4371558759611288e-19,-1.5598401581775968e-20,6.2889958378829036e-20,2.3127575378974253e-20
0.18,1.9907402783135995e-17,-2.7142436086351334e-20,-1.8014815501661929e-19,-1.3945651370129222e-19,5.4936082450303341e-21,1.0366259056027101e-19,3.7060777426284802e-20
0.1825,1.98449251510468e-17,-3.2075298522940385e-20,-1.7756528547133152e-19,-1.3317168757588924e-19,1.7898233369210859e-20,1.0916693746260954e-19,4.0669552304484865e-20
0.185,1.9530704982080414e-17,-4.0067504588838416e-20,-1.6721183701481685e-19,-1.2737169286986937e-19,1.6720273965287603e-20,8.2313013454967621e-20,3.2353110901548312e-20
0.1875,1.8836035154899846e-17,-5.0531081644608528e-20,-1.5175872170899456e-19,-1.262078715261682e-19,1.7431129873644739e-21,4.2341404027225737e-20,1.6853012545145869e-20
0.19,1.7728459576300164e-17,-6.2738860563680795e-20,-1.3540525719611767e-19,-1.3258098543749972e-19,-2.3058588759807121e-20,4.4036510895801291e-21,2.0157699492352327e-21
0.1925,1.6307146670150294e-17,-7.607766206253556e-20,-1.2310408103571874e-19,-1.4806547918462812e-19,-5.2355215263453449e-20,-2.6777613084347832e-20,-7.509402519140797e-21
0.195,1.4727745113442306e-17,-8.9773328320981565e-20,-1.179505918143084e-19,-1.7178764814436058e-19,-8.2182701499455799e-20,-5.2200059127960525e-20,-1.127165550843016e-20
0.1975,1.3174955317077583e-17,-1.046936029012826e-19,-1.2211735337560478e-19,-2.0056636818950776e-19,-1.1005011082473396e-19,-7.3282399367407047e-20,-1.110832835182219e-20
0.2,1.1813230064679453e-17,-1.2076971253220517e-19,-1.3551414185818419e-19,-2.3018906456140388e-19,-1.3365202964087817e-19,-9.0088344685190345e-20,-8.2423445363009774e-21
0.2025,1.0772997247280017e-17,-1.3656743442474668e-19,-1.5577634997303875e-19,-2.5645208412057656e-19,-1.4980413050485335e-19,-1.0053398621581344e-19,-5.0633515568541708e-21
0.205,1.0127458187522022e-17,-1.496510739446869e-19,-1.7919974904647609e-19,-2.7622850547215435e-19,-1.5397924722742661e-19,-1.0025134218771056e-19,-2.425426082910255e-21
0.2075,9.9135347689739645e-18,-1.5704662793464456e-19,-2.0188719699625029e-19,-2.8670809449205954e-19,-1.4393849156245064e-19,-8.6775915139610197e-20,-8.2499405528801669e-22
0.21,1.0119570066901756e-17,-1.572362810630949e-19,-2.1975874358945156e-19,-2.8628831476397889e-19,-1.2078119515510413e-19,-6.2337890207789059e-20,4.8496516198881845e-23
0.2125,1.0705720859169221e-17,-1.4982439299829263e-19,-2.3202789361221728e-19,-2.7697144617499281e-19,-8.9915666328646175e-20,-3.4036239431424349e-20,7.0592733184853339e-22
0.215,1.1637873185950181e-17,-1.3611634663205542e-19,-2.4024311498102986e-19,-2.6279425264826771e-19,-5.9223531192024681e-20,-1.0001922610177504e-20,1.43752841904002e-21
0.2175,1.2877544614916516e-17,-1.1862408462296024e-19,-2.4617756986837547e-19,-2.4962572013664574e-19,-3.5491162861691843e-20,4.719796803408825e-21,1.9979338705830142e-21
0.22,1.4382888780823384e-17,-9.952845802673349e-20,-2.5208912089778511e-19,-2.4296623606770476e-19,-2.1099751398996461e-20,9.6172006629696921e-21,2.0284658647294311e-21
0.2225,1.6082625517579331e-17,-8.1118779541077642e-20,-2.6000764210642947e-19,-2.4678887386136961e-19,-1.4551526226209264e-20,6.7371609298479599e-21,1.4328191562798736e-21
0.225,1.7865041242143069e-17,-6.5310499103716046e-20,-2.7087159791187119e-19,-2.6219007664091849e-19,-1.2677711124046616e-20,-9.7154764861041264e-22,4.5540261694079051e-22
0.2275,1.9603789410827479e-17,-5.2556741646298874e-20,-2.8346645443756411e-19,-2.8713946940794999e-19,-1.2984132263308635e-20,-1.05574649164996e-20,-5.1810794528615572e-22
0.23,2.1153208072283641e-17,-4.3100064130300857e-20,-2.9543066245818923e-19,-3.1681919025836963e-19,-1.4667798233812874e-20,-1.9396753409210729e-20,-1.3076983752640293e-21
0.2325,2.2388239047092802e-17,-3.6714816993857062e-20,-3.0273623502830215e-19,-3.440067893703894e-19,-1.7395228787814353e-20,-2.6179601703998817e-20,-1.944500062705916e-21
0.235,2.3220494343733022e-17,-3.2731919204261831e-20,-3.0155695900486575e-19,-3.6147431617943912e-19,-2.098357559571551e-20,-3.0728544077357178e-20,-2.470960723260351e-21
0.2375,2.3616803875730606e-17,-3.0353586219792041e-20,-2.8992887331053482e-19,-3.6542281568516566e-19,-2.5338485992581313e-20,-3.4145294284609695e-20,-2.7035653717577906e-21
0.24,2.3598004464677994e-17,-2.910912228503039e-20,-2.6888864093915904e-19,-3.5627156305817485e-19,-2.9504407111024732e-20,-3.6006674838467534e-20,-2.4677867889100601e-21
0.2425,2.3224528339266784e-17,-2.8745809460754324e-20,-2.4176972660089514e-19,-3.387738008799689e-19,-3.2089129213584248e-20,-3.4221964252952537e-20,-1.7533499693135885e-21
0.245,2.2574254219409584e-17,-2.9183801200015709e-20,-2.1389118947122372e-19,-3.1713277513484879e-19,-3.0760345356355963e-20,-2.6610810715005033e-20,-7.8816385801142823e-22
0.2475,2.1739968969369577e-17,-3.0358035538241597e-20,-1.9014189310127515e-19,-2.9460215112902143e-19,-2.5188864480074981e-20,-1.3725336661039323e-20,1.4280293975138981e-22
0.25,2.0799263565616456e-17,-3.190917816097355e-20,-1.7188629009271783e-19,-2.7672527176429363e-19,-1.765697745319071e-20,1.0443703362383418e-21,9.675593046274075e-22
0.2525,1.9823877946672966e-17,-3.3350888569229876e-20,-1.6019288867978351e-19,-2.6986911697797379e-19,-1.1912589992745391e-20,1.3049211816640414e-20,1.8316904497869435e-21
0.255,1.8844804515045745e-17,-3.4278329124185281e-20,-1.5439041151624239e-19,-2.7857181186220663e-19,-1.0699962982854923e-20,1.8608886601745743e-20,2.803997491396796e-21
0.2575,1.7874494340385917e-17,-3.4713560051185524e-20,-1.535260588000756e-19,-3.042316997389526e-19,-1.4356097002122661e-20,1.6397835781671498e-20,3.5705598034284976e-21
0.26,1.6919878446865304e-17,-3.5645118688819668e-20,-1.5610903540703478e-19,-3.4480830302883666e-19,-2.1585862832996028e-20,7.2955453134609542e-21,3.6589591662684564e-21
0.2625,1.5991501586705029e-17,-3.8822665023851871e-20,-1.6032967627767793e-19,-3.9521500255084266e-19,-3.1000833855189523e-20,-6.7429955882715747e-21,2.7589345851777915e-21
0.265,1.5097709700129334e-17,-4.5930414278554211e-20,-1.640952116300093e-19,-4.4945660209361901e-19,-4.1929651721126736e-20,-2.3986922386851797e-20,1.0817128261553167e-21
0.2675,1.4249165028962476e-17,-5.7727217848001607e-20,-1.6525176571821489e-19,-5.0066370350460656e-19,-5.3762966822683052e-20,-4.3310413108657129e-20,-7.8789171752318921e-22
0.27,1.3454910469839565e-17,-7.328925060902106e-20,-1.6207986613606246e-19,-5.4181306183706117e-19,-6.6128044790111367e-20,-6.3640379410418897e-20,-2.2391036369478511e-21
0.2725,1.2741853850343943e-17,-9.0693984374774884e-20,-1.5354254004800527e-19,-5.6689913080224085e-19,-7.7262059196696259e-20,-8.3154241159074057e-20,-2.981747962988903e-21
0.275,1.2131804603915572e-17,-1.0878309885976663e-19,-1.4128877372596909e-19,-5.7224412900038776e-19,-8.5223685160278774e-20,-9.8130340544712408e-20,-3.0579320586707712e-21
0.2775,1.1670839010657846e-17,-1.2681915920985483e-19,-1.2722478601029685e-19,-5.5777658552414698e-19,-8.7835488295254681e-20,-1.0459452893662557e-19,-2.7084249690264553e-21
0.28,1.1399547611688411e-17,-1.4388343254516719e-19,-1.1291670163888478e-19,-5.2722036417862821e-19,-8.4293853204076112e-20,-1.0023705815991118e-19,-2.1557055201198332e-21
0.2825,1.1361506473253438e-17,-1.601410910135813e-19,-1.0065365573696011e-19,-4.8654344473796487e-19,-7.5866943314922608e-20,-8.6851816908112019e-20,-1.5001862817652172e-21
0.285,1.1605197924373855e-17,-1.749101241081719e-19,-9.1267964222519203e-20,-4.4268273484080878e-19,-6.517524421152686e-20,-6.9738888935115652e-20,-7.3990192641055136e-22
0.2875,1.2166015034297334e-17,-1.8680580290424033e-19,-8.4475196772611842e-20,-4.0108828915200651e-19,-5.5101704737111142e-20,-5.5107622098276232e-20,8.7578815570665816e-23
0.29,1.3052395482790529e-17,-1.9393830746516252e-19,-7.913275368107687e-20,-3.650294323282062e-19,-4.7523924443985799e-20,-4.71403355776948e-20,7.5189165165784919e-22
0.2925,1.4244149205434971e-17,-1.9515793879037032e-19,-7.4342652566402627e-20,-3.355538774294196e-19,-4.2856913905323819e-20,-4.6602396507928372e-20,8.3827849701295847e-22
0.295,1.5689487132171572e-17,-1.8971571654594071e-19,-6.9446919939872577e-20,-3.1194090180435801e-19,-4.0577734482724123e-20,-5.1801215344467472e-20,-4.117022332733762e-24
0.2975,1.730380475008095e-17,-1.7795939610396471e-19,-6.424103026093716e-20,-2.9325024706432148e-19,-3.9779209829907721e-20,-6.019701358969221e-20,-1.7404270012945023e-21
0.3,1.8979860917642445e-17,-1.6079101205176514e-19,-5.8960332311151189e-20,-2.7793323878633205e-19,-3.9692541201257855e-20,-6.9635625447948303e-20,-3.8365559754768431e-21
0.3025,2.0595562803093452e-17,-1.3972092314675937e-19,-5.3858378140580604e-20,-2.6503771109205425e-19,-3.9726356137371386e-20,-7.8324674349267879e-20,-5.5992988367576365e-21
0.305,2.2027195195363366e-17,-1.1700963487048064e-19,-4.9246330050225617e-20,-2.5399510009429394e-19,-3.9481721422113878e-20,-8.454949891417026e-20,-6.5692955406445428e-21
0.3075,2.3159881342477816e-17,-9.581843421712865e-20,-4.5216511586483848e-20,-2.4444100649994764e-19,-3.8651384649575066e-20,-8.6085926180213439e-20,-6.6492941720859419e-21
0.31,2.3901737427113941e-17,-8.033482417566941e-20,-4.181533352211893e-20,-2.3653889590512545e-19,-3.7170555513383391e-20,-8.1608307872501039e-20,-6.1290069739646622e-21
0.3125,2.4194371131748817e-17,-7.526614101763439e-20,-3.9188608489059431e-20,-2.3122561843959099e-19,-3.5206396242929786e-20,-7.096608803350728e-20,-5.2441127337475379e-21
0.315,2.4019643791704539e-17,-8.5263366576302918e-20,-3.7338001717358071e-20,-2.3008789619361227e-19,-3.318686210401752e-20,-5.5730733472599736e-20,-4.0823956188923397e-21
0.3175,2.3396435873458425e-17,-1.1417464307204026e-19,-3.6378524053653419e-20,-2.3493733599828135e-19,-3.1654626467654008e-20,-3.8581458192615915e-20,-2.6029243715857902e-21
0.32,2.2378675510136331e-17,-1.6460911166687549e-19,-3.643458145156039e-20,-2.4753819554809129e-19,-3.1029677389420094e-20,-2.2501207819761844e-20,-8.5328292708189891e-22
0.3225,2.104198987961326e-17,-2.3739213661524279e-19,-3.7589890997300088e-20,-2.6881595128421133e-19,-3.1804946835065026e-20,-9.9318226864857377e-21,9.6126351940346077e-22
0.325,1.9474610527801457e-17,-3.3158087778900533e-19,-3.9649897137670176e-20,-2.9851111258401994e-19,-3.4306492086980941e-20,-2.3996070995889793e-21,2.5224907427987815e-21
0.3275,1.7776431528136178e-17,-4.4460278432766077e-19,-4.2275691658360989e-20,-3.350512883733236e-19,-3.8684223905397944e-20,-4.209654296946954e-22,3.5070359763042508e-21
0.33,1.6052268011879573e-17,-5.724781602055031e-19,-4.4796870838822296e-20,-3.7589069284702486e-19,-4.4866680363198211e-20,-3.7004220395751611e-21,3.6598133302976518e-21
0.3325,1.4404503657279215e-17,-7.1013032624975401e-19,-4.6397935415532373e-20,-4.1787573283225398e-19,-5.2494484713526731e-20,-1.1212608913971583e-20,2.9321441965616809e-21
0.335,1.2926322406628144e-17,-8.5164655183246196e-19,-4.6180070896953928e-20,-4.5777950374869762e-19,-6.0914023286668452e-20,-2.1694029578754393e-20,1.4904043957047669e-21
0.3375,1.1700204813281979e-17,-9.9065583783859337e-19,-4.4053562952960619e-20,-4.9300603373826527e-19,-6.9906729250749597e-20,-3.3740758269989852e-20,-2.5861701282117395e-22
0.34,1.0794671491403372e-17,-1.1203030376399544e-18,-4.027607604090272e-20,-5.2093140354704821e-19,-7.882966781235312e-20,-4.6078890794221693e-20,-1.7862330010387619e-21
0.3425,1.026063264856249e-17,-1.2336959880530075e-18,-3.5768595880184234e-20,-5.4035424467611153e-19,-8.7172721034523005e-20,-5.780437627861538e-20,-2.6604195771724628e-21
0.345,1.0123231550208962e-17,-1.3244338418727091e-18,-3.1698473703923208e-20,-5.5003014367886748e-19,-9.4452409808063211e-20,-6.7827829117694064e-20,-2.7336194913951321e-21
0.3475,1.0372792849922944e-17,-1.3870359622344738e-18,-2.9032346134493704e-20,-5.4914065427745655e-19,-1.0012294153032133e-19,-7.5250067029311344e-20,-2.1921334371279715e-21
0.35,1.0983173218892288e-17,-1.4176273377220948e-18,-2.8770882791704354e-20,-5.3792312056943487e-19,-1.0369852675175244e-19,-7.9164475180973903e-20,-1.4055640360124216e-21
0.3525,1.1901392430169979e-17,-1.4144612643976852e-18,-3.0992944859032177e-20,-5.1740434829225318e-19,-1.0502830056076904e-19,-7.8850805965687762e-20,-6.8348754443914616e-22
0.355,1.3053540441451553e-17,-1.3780918201983257e-18,-3.5662064603942031e-20,-4.8925844078403829e-19,-1.0409893823236682e-19,-7.4757075193508425e-20,-1.6843100140567944e-22
0.3575,1.4351071818933523e-17,-1.3117108467235056e-18,-4.2205641624666536e-20,-4.5602769137097299e-19,-1.0126734182289516e-19,-6.8390663473506799e-20,1.5654899289509095e-22
0.36,1.56968328931345e-17,-1.2207108088865286e-18,-4.997816928343659e-20,-4.2054042472180047e-19,-9.7181186823363587e-20,-6.2125274531111601e-20,3.6295285189118241e-22
0.3625,1.6994252202495425e-17,-1.1131994055237882e-18,-5.8137110657967804e-20,-3.8519287009419536e-19,-9.2585612249889699e-20,-5.8231822972441363e-20,4.7529592992591411e-22
0.365,1.8156758933611111e-17,-9.9948727101957131e-19,-6.5874251870672006e-20,-3.5178461255197918e-19,-8.8183147356610587e-20,-5.8121104741787987e-20,4.4926749709711185e-22
0.3675,1.9109759487906405e-17,-8.918174786767647e-19,-7.2730458923402392e-20,-3.2126687739985496e-19,-8.4547682938958791e-20,-6.1690849656385614e-20,2.1500597859411133e-22
0.37,1.9796514203312539e-17,-8.0342841845897956e-19,-7.8497730411429005e-20,-2.9439541607153e-19,-8.1895800094066107e-20,-6.7747020800006211e-20,-2.7140579862998656e-22
