Physical Time (s),ew_right Monitor (W): right_cv1,ew_right Monitor (W): right_cv2,ew_right Monitor (W): right_cv3,ew_right Monitor (W): right_cv4,ew_right Monitor (W): right_cv5,ew_right Monitor (W): right_cv6,ew_right Monitor (W): right_cv7
0.0825,6.7823770205265688e-12,4.0955515654954432e-14,6.8091352975141653e-15,1.8446984463793395e-15,6.065887275143758e-16,3.9209428403347891e-15,1.6122514375445524e-15
0.085,6.8386864050189928e-12,4.4130641806849681e-14,7.5787259365022743e-15,2.5957619399722801e-15,3.7330325453770323e-16,3.7705880308685271e-15,1.1947165339294215e-15
0.0875,7.5304289516217385e-12,4.516215778396554e-14,7.7280228736765509e-15,2.9384717621045873e-15,3.570083283009968e-16,2.5683604446622288e-15,5.1600721250584268e-16
0.09,8.7428426756998617e-12,4.4016367290582186e-14,7.4020346549632604e-15,2.7736102161759566e-15,3.9163002589587892e-16,1.366193066704421e-15,2.7685696569377869e-16
0.0925,1.0292033842414683e-11,4.1949078633591706e-14,6.9730797725581909e-15,2.4741098885802041e-15,3.8185290315653984e-16,1.2973589654781937e-15,5.0413607513252159e-16
0.095,1.1947874797852955e-11,3.9980376557654911e-14,6.6727373073745519e-15,2.4745066997680649e-15,3.3411875069516101e-16,2.273120620087112e-15,6.6436882148070839e-16
0.0975,1.3506942509986616e-11,3.8770925528894299e-14,6.3984160961890819e-15,2.7792094929406302e-15,2.8147884666221148e-16,3.0283165583338209e-15,5.6849863658124034e-16
0.1,1.4791979945481366e-11,3.879292842182043e-14,5.8712083266025683e-15,2.9108663332284533e-15,2.3476085024828627e-16,2.6162000167257514e-15,3.3718022350973185e-16
0.1025,1.5693342323621748e-11,4.0171449962550234e-14,4.9423083415641013e-15,2.4711019185279764e-15,1.9368638636340919e-16,1.3765734046255715e-15,1.766923239719169e-16
0.105,1.6166746002691061e-11,4.3433384389844729e-14,3.8081552134762891e-15,1.6718759141227825e-15,1.5636872337852942e-16,4.6762996427910496e-16,1.6609061794844276e-16
0.1075,1.6225908721083637e-11,4.7870984428636832e-14,2.8787152414145558e-15,1.113055876980257e-15,1.1886567663677504e-16,4.9171173095268241e-16,2.4721364604964936e-16
0.11,1.5924034226725137e-11,5.2472868168252663e-14,2.5274511736654634e-15,1.1430248731568599e-15,8.4743183442028213e-17,9.9560635194274657e-16,3.0690120181645271e-16
0.1125,1.53306466252225e-11,5.5700055564681039e-14,2.7915696403675553e-15,1.5378286627940856e-15,6.7818470715425969e-17,1.2054338388762933e-15,2.676857419517323e-16
0.115,1.4519408907939367e-11,5.668689930849192e-14,3.340251590556645e-15,1.8224405045303169e-15,7.2817273335119355e-17,8.9449074322472487e-16,1.6700166633810491e-16
0.1175,1.3547169121670906e-11,5.5241696487225465e-14,3.7416699760966696e-15,1.8082211935813995e-15,8.3389940728914301e-17,4.3056071182201873e-16,8.7448973997841714e-17
0.12,1.2481882319282625e-11,5.2621352656022519e-14,3.7835247807213852e-15,1.6452806837016348e-15,9.7326379880728552e-17,2.7893256261230565e-16,7.6121120640429602e-17
0.1225,1.1360192026334729e-11,4.8495551721437577e-14,3.5828622284284017e-15,1.5473388797562726e-15,1.3500513005767112e-16,5.5698639349173213e-16,1.0299676254954998e-16
0.125,1.0253805282524646e-11,4.3066370570007278e-14,3.3882019341941535e-15,1.5280950012949971e-15,2.2296386561076133e-16,9.8856385927140386e-16,1.0374733863061737e-16
0.1275,9.1969728289052806e-12,3.6958042014986092e-14,3.2654335938254769e-15,1.4717417813231724e-15,3.2540576688937025e-16,1.2136586517681638e-15,6.9114348232063237e-17
0.13,8.2092588220227341e-12,3.1265604834854353e-14,3.0849331560419461e-15,1.3521503689432429e-15,3.7848869534061919e-16,1.1150172440480056e-15,3.3106103916583723e-17
0.1325,7.3186325834005815e-12,2.6810269080117982e-14,2.7484863018130103e-15,1.2610043117345994e-15,3.3557518940693225e-16,7.9239587896670401e-16,3.2821834244580843e-17
0.135,6.5435660596137091e-12,2.4024052452611918e-14,2.3670837530754783e-15,1.2732446857731485e-15,2.3104750126973526e-16,4.6325186516240846e-16,6.2402123903097922e-17
0.1375,5.8743468990583616e-12,2.3073156678002632e-14,2.1677919515028641e-15,1.368365391210034e-15,1.4833495292709534e-16,3.0824300451562087e-16,8.6247795174619192e-17
0.14,5.2999502058627225e-12,2.4165177589621755e-14,2.2565425616404876e-15,1.4809455118087637e-15,1.4772092412844083e-16,3.3879983676488481e-16,7.8474994670720223e-17
0.1425,4.8021859540043117e-12,2.7874944429936721e-14,2.528829812735487e-15,1.5626937973360044e-15,2.173455356507415e-16,4.5129201640698896e-16,5.6310387549869507e-17
0.145,4.3658586265518318e-12,3.5314689782509374e-14,2.7805381810705473e-15,1.6105407360667768e-15,2.9308801276438975e-16,5.2307059309461774e-16,4.3364767718904102e-17
0.1475,3.9713279189094839e-12,4.7511509556036142e-14,2.8790927250446017e-15,1.6409052306117787e-15,3.247030868631141e-16,4.9190471263227808e-16,5.1732606888970132e-17
0.15,3.6117928974985274e-12,6.4305124491756943e-14,2.8179882678185828e-15,1.6753143175535652e-15,3.0155083388989022e-16,3.761793220945078e-16,6.9914333546840541e-17
0.1525,3.2815083472226963e-12,8.4567961183357421e-14,2.6598492395581296e-15,1.715697389644737e-15,2.5129070195515528e-16,2.3624864816210806e-16,8.0696637170325116e-17
0.155,2.9715780373410382e-12,1.0653373221794919e-13,2.4576614818014206e-15,1.7514778869994222e-15,2.024145630445749e-16,1.2472055053080545e-16,7.3834971987170302e-17
0.1575,2.6825938257163941e-12,1.2940859205974282e-13,2.2314254545046814e-15,1.7773341470808684e-15,1.7305029561121655e-16,6.8178278333401935e-17,5.3771434284003271e-17
0.16,2.4174337753487696e-12,1.5345793601942161e-13,1.9970440308268141e-15,1.7947934348522802e-15,1.6264308647638284e-16,5.4745495225618299e-17,3.3681366310301766e-17
0.1625,2.174641795433591e-12,1.8012262672975875e-13,1.7795321889310394e-15,1.8110650853002958e-15,1.6291489172600575e-16,5.4799968253851872e-17,2.0670261630274835e-17
0.165,1.9498809899097334e-12,2.1108282672906202e-13,1.608687356261003e-15,1.8396719696785351e-15,1.6733500146207861e-16,4.8022263730851573e-17,1.4502140711681933e-17
0.1675,1.7423644579145697e-12,2.5021803458264752e-13,1.5016265724368652e-15,1.8865317984169463e-15,1.7297175402930277e-16,3.8705746088659567e-17,1.0785898562853753e-17
0.17,1.5515430624535781e-12,3.0201785282901109e-13,1.4560749893973329e-15,1.9450812050137627e-15,1.8048599170219487e-16,4.6416442435713972e-17,7.2026912588170947e-18
0.1725,1.3753494786406114e-12,3.7172582073335291e-13,1.4489159881727757e-15,2.0067513020693288e-15,1.9111879329275076e-16,8.2172751813256187e-17,4.2338914827122132e-18
0.175,1.2153549883096147e-12,4.6474624868418806e-13,1.4511930330304727e-15,2.0634818014029771e-15,2.0511564398965004e-16,1.3130982990000152e-16,3.9167316548625332e-18
0.1775,1.0688319265339767e-12,5.8621543788067453e-13,1.4403367698280063e-15,2.115886178516204e-15,2.2098293085663242e-16,1.6608072113733947e-16,6.5831763417559126e-18
0.18,9.3572274884461604e-13,7.3885750532859897e-13,1.4107844088104583e-15,2.1678866954163257e-15,2.3456116193602283e-16,1.6574941396454989e-16,1.055269285555916e-17
0.1825,8.1583246074063276e-13,9.2600475270965932e-13,1.3673485842693827e-15,2.2190491838940385e-15,2.4143960863944174e-16,1.3584758152115752e-16,1.3038946916865391e-17
0.185,7.087840612850026e-13,1.1458416662880508e-12,1.3201344018087244e-15,2.2629144143496472e-15,2.3864249164773323e-16,1.0366996625599667e-16,1.244191464218547e-17
0.1875,6.1425622493279227e-13,1.3919480354766023e-12,1.2750339713039313e-15,2.2892469355484891e-15,2.2812017744211429e-16,9.9465222934437893e-17,1.0254219662987009e-17
0.19,5.3120589348535276e-13,1.6511634044624657e-12,1.23274564173859e-15,2.2950281837912952e-15,2.1575906457970667e-16,1.3043422110856026e-16,9.6883590471645144e-18
0.1925,4.5883928018882772e-13,1.9060828854535018e-12,1.1957410697836908e-15,2.2842184324877062e-15,2.0873861363451754e-16,1.7665861620352884e-16,1.4005041940378004e-17
0.195,3.9661454049487113e-13,2.1397820657219779e-12,1.1715968201149119e-15,2.278859876717669e-15,2.1302536856847059e-16,2.0581862915678932e-16,2.3155411051329283e-17
0.1975,3.439554909012812e-13,2.336934311000626e-12,1.1704623893695239e-15,2.3039686283536667e-15,2.2820239387481175e-16,1.9787913264593037e-16,3.3373251830417557e-17
0.2,3.0066000342382885e-13,2.4862090966714733e-12,1.1958896751879081e-15,2.3729313729797665e-15,2.481817329811068e-16,1.5776549009772455e-16,3.9373424804478506e-17
0.2025,2.6599546209034348e-13,2.5770191363107548e-12,1.2391153606247774e-15,2.4777954404217189e-15,2.6576605452807816e-16,1.0639422558922446e-16,3.7253992435066175e-17
0.205,2.3872508749814468e-13,2.6010095566831462e-12,1.2791367903341568e-15,2.5948517683124416e-15,2.7346986609631265e-16,6.4219563080010958e-17,2.9384131338350176e-17
0.2075,2.1757980874670193e-13,2.5548615430436594e-12,1.2905531258202665e-15,2.6953246757908809e-15,2.6993627195170724e-16,4.3415031469151999e-17,2.1248900942235835e-17
0.21,2.0076060398298556e-13,2.4408893751049624e-12,1.261239955365225e-15,2.7617670622028267e-15,2.577818361800542e-16,4.0787460090749407e-17,1.8540189970921673e-17
0.2125,1.8707666109114646e-13,2.2656451530016548e-12,1.1951284629253625e-15,2.7939268495698383e-15,2.4242158565522542e-16,4.4659348073431492e-17,2.2134147146719941e-17
0.215,1.7530860319337578e-13,2.0430574482015931e-12,1.1099804930355222e-15,2.7984384954397707e-15,2.2805266101846675e-16,4.45992639252032e-17,2.7683883129359706e-17
0.2175,1.6444442412762529e-13,1.7916725932970585e-12,1.0235405912727722e-15,2.7825972291190341e-15,2.1581717387623598e-16,3.759044767952201e-17,2.9650773004375496e-17
0.22,1.5370415437821505e-13,1.5328011679727998e-12,9.4854920065235616e-16,2.751845722514203e-15,2.0451430354151849e-16,2.6043742289281837e-17,2.5883503600863151e-17
0.2225,1.4364021025390803e-13,1.2888059111139944e-12,8.8860455836544929e-16,2.7136583219785944e-15,1.9365080274334131e-16,1.5392593396572864e-17,1.6936212510590204e-17
0.225,1.3426856096061397e-13,1.0790976994923549e-12,8.4188862040404352e-16,2.6784967288980168e-15,1.839395441991466e-16,9.1433493318176663e-18,9.1590581843231943e-18
0.2275,1.2623892261345962e-13,9.1881958806923222e-13,8.0395667564954566e-16,2.660654952203202e-15,1.7845312183902168e-16,8.2825840493602774e-18,5.9868995223381083e-18
0.23,1.1977275354882818e-13,8.153492348409614e-13,7.707695921343233e-16,2.6699473358390964e-15,1.7944575635529293e-16,1.1743223037453708e-17,7.6164159286966566e-18
0.2325,1.1492698465903372e-13,7.6846845348096895e-13,7.4019557640137046e-16,2.7071687534114294e-15,1.8707643827790375e-16,1.7728347145544802e-17,1.1115973450144134e-17
0.235,1.1207476702353237e-13,7.7318859282017806e-13,7.1219366906645202e-16,2.7658949737412671e-15,1.9953651713286235e-16,2.4443462094171461e-17,1.3766201991151004e-17
0.2375,1.1047935981483823e-13,8.2160241834492458e-13,6.8916914741402587e-16,2.8362656746463669e-15,2.1494868921179761e-16,2.9863899310984628e-17,1.3544934467484716e-17
0.24,1.104244547745697e-13,9.0443341178651721e-13,6.7474018371909298e-16,2.909960633950559e-15,2.3394139677850412e-16,3.2637086922608131e-17,1.1292779102187576e-17
0.2425,1.1130994825840906e-13,1.011754233230225e-12,6.7136745533341548e-16,2.9800299061691889e-15,2.5903983862584897e-16,3.2428782514714809e-17,8.9597506636078761e-18
0.245,1.1269555351319379e-13,1.1327704623049767e-12,6.7737718532406237e-16,3.038642377975136e-15,2.9222563799985443e-16,3.0359186034876849e-17,7.5278003857996403e-18
0.2475,1.1473347788592079e-13,1.2575483395330222e-12,6.8690616316779102e-16,3.0758360920203617e-15,3.3269987925658807e-16,2.9636645254178101e-17,7.0899914516378518e-18
0.25,1.1661479908986711e-13,1.3789402948509501e-12,6.9500599626651417e-16,3.0807885729317073e-15,3.7415959603149275e-16,3.3664964992726857e-17,6.9994900474144946e-18
0.2525,1.1833228184020742e-13,1.490406805632867e-12,6.9689128541590594e-16,3.0503174730804986e-15,4.0767610550605305e-16,4.393893049499539e-17,6.5904663578271704e-18
0.255,1.2034933855086696e-13,1.5874800086644039e-12,6.9343087828060227e-16,2.9943796952393073e-15,4.2734285640771384e-16,5.9056831729617245e-17,5.9336759121462239e-18
0.2575,1.2204199432014491e-13,1.6672637066402049e-12,6.8899010531221809e-16,2.9313266855907839e-15,4.3282563944523916e-16,7.4071038647291973e-17,5.2024194729292996e-18
0.26,1.232387134541695e-13,1.7285614390960558e-12,6.8890970212565339e-16,2.8801632802791231e-15,4.2948994079878583e-16,8.4321250808733943e-17,4.7360279986965432e-18
0.2625,1.2459646399134709e-13,1.7711208243347777e-12,6.946408961028532e-16,2.8527032742795607e-15,4.2558707321905935e-16,8.6237847566409038e-17,4.7965819058684806e-18
0.265,1.2585480780633337e-13,1.7966938015933137e-12,7.0511245792928054e-16,2.8505107789409595e-15,4.2764230173097137e-16,8.171980737924308e-17,5.4147911816352462e-18
0.2675,1.2730118927221063e-13,1.8073543948823629e-12,7.1622327728337173e-16,2.866006011241158e-15,4.3755058478918124e-16,7.4192119484434031e-17,6.5972002552174121e-18
0.27,1.286298463256622e-13,1.8054798811808442e-12,7.2311016438575296e-16,2.8902238027643066e-15,4.5356330812714414e-16,6.6415587481001748e-17,7.8382536548054937e-18
0.2725,1.299698897463728e-13,1.7936641390983684e-12,7.2344357376446783e-16,2.9144948603241548e-15,4.7187440695682589e-16,6.1070069683648521e-17,8.6131045244604483e-18
0.275,1.3137879005268384e-13,1.7741162119902729e-12,7.1781288131733263e-16,2.9325700130553508e-15,4.9083204939017646e-16,5.8308480746616474e-17,8.4702243207268751e-18
0.2775,1.3313334302984721e-13,1.7492342449894116e-12,7.0858426466041332e-16,2.9404394610844157e-15,5.0847156981688593e-16,5.6650253889299361e-17,7.4279520590930585e-18
0.28,1.345890474629663e-13,1.7209187344766817e-12,6.9922675101185415e-16,2.9364926996728807e-15,5.2393244838673751e-16,5.4958567817393843e-17,6.0181774659966571e-18
0.2825,1.3579011146141386e-13,1.6907404396316917e-12,6.9251170004499207e-16,2.9204116677151056e-15,5.3577554964294333e-16,5.2709101900686401e-17,4.8823723752257565e-18
0.285,1.3663527702946313e-13,1.6599682318367526e-12,6.895039836085199e-16,2.8934675034038931e-15,5.4262979397478319e-16,5.0069786774399139e-17,4.4132295363661418e-18
0.2875,1.3742450353295722e-13,1.6291629584752128e-12,6.903722845225725e-16,2.8587277779850873e-15,5.4389552125975352e-16,4.7838602051938534e-17,4.5900454439459472e-18
0.29,1.3788940864103202e-13,1.5981838211308901e-12,6.9467513190906466e-16,2.8217297146287221e-15,5.4109604554119643e-16,4.7231203043475858e-17,4.9443814755987806e-18
0.2925,1.381609995589762e-13,1.566676559532847e-12,7.0194040839885538e-16,2.7880078968471104e-15,5.369758872963704e-16,5.011455185514364e-17,5.3005173719650597e-18
0.295,1.3749729487580869e-13,1.5345535780152541e-12,7.116104689545933e-16,2.7623682681842846e-15,5.3508751440350789e-16,5.8663907799438793e-17,5.5974482136831526e-18
0.2975,1.3622099351632399e-13,1.5018283976907526e-12,7.2374932558227983e-16,2.7474983696117989e-15,5.3740145757013323e-16,7.2811075960693469e-17,5.8410473712990118e-18
0.3,1.3462209508971165e-13,1.4682206527798117e-12,7.3910081486244679e-16,2.7426308576753381e-15,5.4350037332266003e-16,9.089620099847837e-17,6.3390513698423967e-18
0.3025,1.3192609562314711e-13,1.4333844054078284e-12,7.5799671952551948e-16,2.7440624995910705e-15,5.5141667538697454e-16,1.0891233658323805e-16,7.1272014983216246e-18
0.305,1.2848991309287175e-13,1.3975990616302643e-12,7.8110305932173173e-16,2.7492075475696627e-15,5.5625570318269894e-16,1.2107288923365186e-16,8.2442004710289679e-18
0.3075,1.2467498286501553e-13,1.3607151848150815e-12,8.0879372494451112e-16,2.7522094518122209e-15,5.5711036487877262e-16,1.2389777412479554e-16,9.4618292999647888e-18
0.31,1.1985336217064594e-13,1.3229895057462336e-12,8.4220955775435332e-16,2.7470623142767783e-15,5.5380379737025127e-16,1.1685576209091632e-16,1.0543231573892584e-17
0.3125,1.1446473552786466e-13,1.283954641121444e-12,8.8258557925379903e-16,2.7318726513797535e-15,5.4762166848211201e-16,1.0314394388076786e-16,1.1085588013279158e-17
0.315,1.0804210632018019e-13,1.2438471096619245e-12,9.2890523258076083e-16,2.7047784589835575e-15,5.4093046317556343e-16,8.8496778386846461e-17,1.0958348903693316e-17
0.3175,1.0157210739619796e-13,1.2034819260467744e-12,9.8082511739752134e-16,2.6657865582318615e-15,5.3667872172074733e-16,7.7208529442874191e-17,1.0339876758377114e-17
0.32,9.4752202406610763e-14,1.1626461156598528e-12,1.03718234046116e-15,2.6161173060730174e-15,5.3587962759275861e-16,7.1625248491289933e-17,9.5579742315645242e-18
0.3225,8.7042935153050535e-14,1.1224853947848146e-12,1.0968097650165069e-15,2.5578419624405564e-15,5.3825879203881911e-16,7.0942657148367152e-17,9.0711975617517069e-18
0.325,7.920251100283359e-14,1.0832996202462845e-12,1.1588535506821724e-15,2.4943822893750811e-15,5.4286552981573836e-16,7.2448928139449868e-17,9.0036667988484841e-18
0.3275,7.0935988615593276e-14,1.0452387696598466e-12,1.2219374745614889e-15,2.42932174611381e-15,5.4894019973911795e-16,7.2951021326817483e-17,9.0909326446597692e-18
0.33,6.2600483059931998e-14,1.0083074047243018e-12,1.2845083463150486e-15,2.3653196766555078e-15,5.5633124272718236e-16,7.081252220269552e-17,9.0618707300876527e-18
0.3325,5.4439138999377156e-14,9.7256301976422478e-13,1.34629803616078e-15,2.3044670666822955e-15,5.6522837086046168e-16,6.5941676261747999e-17,8.5546960685755291e-18
0.335,4.637254537431978e-14,9.3785999618105696e-13,1.4060418512685441e-15,2.2467059185747024e-15,5.762351431022284e-16,5.9608465784670096e-17,7.4248888408524342e-18
0.3375,3.8195134847929733e-14,9.040438272934325e-13,1.4634928201084588e-15,2.1922028111292133e-15,5.8971428176781864e-16,5.3499554021678704e-17,5.9365071581274138e-18
0.34,3.027125608058733e-14,8.7105761703466628e-13,1.5198611223049829e-15,2.1389542697644534e-15,6.0564136123371364e-16,4.8994138201540748e-17,4.4748555523011792e-18
0.3425,2.2511979787166082e-14,8.3869141548500144e-13,1.5753784131666457e-15,2.0860694268830383e-15,6.2351144667947193e-16,4.7014642241505776e-17,3.2572567013078922e-18
0.345,1.5318147275957022e-14,8.0662799991777401e-13,1.6320452813167613e-15,2.0324149310578468e-15,6.4193691477734992e-16,4.7244833523914649e-17,2.3988204078512775e-18
0.3475,8.006262046502151e-15,7.7504705666165981e-13,1.6910585633648233e-15,1.9766373659399098e-15,6.5987980705048026e-16,4.9382715834339992e-17,1.8843584340807001e-18
0.35,8.5186323304852123e-16,7.4363981948464205e-13,1.7539740294381757e-15,1.9177330172052259e-15,6.7597075260856183e-16,5.2540427933785382e-17,1.6594652062196503e-18
0.3525,-5.8517228438286471e-15,7.1247082225222562e-13,1.8241298259465045e-15,1.8568149797121914e-15,6.8909708108721e-16,5.5811779054583462e-17,1.6869701078771754e-18
0.355,-1.2433211889744746e-14,6.814600182200321e-13,1.9019830080363198e-15,1.7936610183654726e-15,6.9907911023995687e-16,5.8124389226749833e-17,1.9404052540162821e-18
0.3575,-1.8612551278998519e-14,6.5076124339787244e-13,1.9871532016224299e-15,1.7291320639965222e-15,7.0645905908355398e-16,5.8861748343290449e-17,2.3305836841926463e-18
0.36,-2.4770034594797921e-14,6.2033769231239225e-13,2.0799504096095881e-15,1.6637516948549639e-15,7.128284804885927e-16,5.7669512752421855e-17,2.6858065695943054e-18
0.3625,-3.080683747906689e-14,5.904016257517419e-13,2.1805624037905777e-15,1.5992755747184035e-15,7.2039065209815212e-16,5.4895982930280192e-17,2.8464608296805387e-18
0.365,-3.6652625743693451e-14,5.6105592280052686e-13,2.2885974056699005e-15,1.5366592696710195e-15,7.3171509002017757e-16,5.201111179602058e-17,2.7391167487992434e-18
0.3675,-4.2176568810572411e-14,5.3238593086271457e-13,2.4024900872556138e-15,1.4769878177804e-15,7.4887141714102019e-16,5.0654034896395096e-17,2.4676280400383903e-18
0.37,-4.7485123823118139e-14,5.0449760435403878e-13,2.5214454148465315e-15,1.4201475193581621e-15,7.7307148622726718e-16,5.2059708096767869e-17,2.254186955435089e-18
0.3725,-5.2775780349590664e-14,4.7743381879474167e-13,2.6457408043523528e-15,1.3669507618212957e-15,8.0453152083995424e-16,5.6542676924785654e-17,2.3364309618149776e-18
0.375,-5.7823503809130346e-14,4.5130205942560997e-13,2.7755988104500213e-15,1.3160638086857282e-15,8.4192442680651393e-16,6.3235657312472489e-17,2.8268161076036463e-18
0.3775,-6.2676696641785229e-14,4.2616182946939692e-13,2.9148232179960571e-15,1.2673693377439888e-15,8.8364614488607406e-16,7.0311226796505472e-17,3.6870547945928906e-18
0.38,-6.7075319489327409e-14,4.0201005764667887e-13,3.0698028131940085e-15,1.2204000676061754e-15,9.2755740027021238e-16,7.5841295502793284e-17,4.7086560721316047e-18
0.3825,-7.1189067868158637e-14,3.789078220270265e-13,3.2512163235928681e-15,1.1746308280134701e-15,9.7187953881746714e-16,7.8867760429837066e-17,5.4818366497264002e-18
0.385,-7.5016853176613938e-14,3.5689859105691775e-13,3.4775849184838305e-15,1.130939037918514e-15,1.0151417132333999e-15,7.8549958359060636e-17,6.0234287435272692e-18
0.3875,-7.843394442795541e-14,3.3583797278605377e-13,3.7776731288011885e-15,1.0890393181100525e-15,1.0562177718150341e-15,7.4822858699960511e-17,6.1989934470550518e-18
0.39,-8.1434772915147122e-14,3.1569544482807423e-13,4.1855701690218762e-15,1.0503920129325051e-15,1.0942512955678345e-15,6.911094541075909e-17,6.1018784425479509e-18
