Physical Time (s),theta_vol Monitor (kg-m/s^3): cv1,theta_vol Monitor (kg-m/s^3): cv2,theta_vol Monitor (kg-m/s^3): cv3,theta_vol Monitor (kg-m/s^3): cv4,theta_vol Monitor (kg-m/s^3): cv5,theta_vol Monitor (kg-m/s^3): cv6,theta_vol Monitor (kg-m/s^3): cv7
0.01382335,0,0,0,0,0,0,0
0.01387399,0,0,0,0,0,0,0
0.01392462,0,0,0,0,0,0,0
0.01397526,0,0,0,0,0,0,0
0.0140259,0,0,0,0,0,0,0
0.01407653,0,0,0,0,0,0,0
0.01412716,0,0,0,0,0,0,0
0.0141778,0,0,0,0,0,0,0
0.01422843,0,0,0,0,0,0,0
0.01427907,0,0,0,0,0,0,0
0.0143297,0,0,0,0,0,0,0
0.01438034,0,0,0,0,0,0,0
0.01443098,0,0,0,0,0,0,0
0.01448161,0,0,0,0,0,0,0
0.01453224,0,0,0,0,0,0,0
0.01458288,0,0,0,0,0,0,0
0.01463351,0,0,0,0,0,0,0
0.01468415,0,0,0,0,0,0,0
0.01473479,0,0,0,0,0,0,0
0.01478542,0,0,0,0,0,0,0
0.01483605,0,0,0,0,0,0,0
0.01488669,0,0,0,0,0,0,0
0.01493732,0,0,0,0,0,0,0
0.01498796,0,0,0,0,0,0,0
0.0150386,0,0,0,0,0,0,0
0.01508923,0,0,0,0,0,0,0
0.01513986,0,0,0,0,0,0,0
0.0151905,0,0,0,0,0,0,0
0.01524113,0,0,0,0,0,0,0
0.01529177,0,0,0,0,0,0,0
0.0153424,0,0,0,0,0,0,0
0.01539304,0,0,0,0,0,0,0
0.01544368,0,0,0,0,0,0,0
0.01549431,0,0,0,0,0,0,0
0.01554494,0,0,0,0,0,0,0
0.01559558,0,0,0,0,0,0,0
0.01564621,0,0,0,0,0,0,0
0.01569685,0,0,0,0,0,0,0
0.01574748,0,0,0,0,0,0,0
0.01579812,0,0,0,0,0,0,0
0.01584875,0,0,0,0,0,0,0
0.01589939,0,0,0,0,0,0,0
0.01595002,0,0,0,0,0,0,0
0.01600066,0,0,0,0,0,0,0
0.0160513,0,0,0,0,0,0,0
0.01610193,0,0,0,0,0,0,0
0.01615257,0,0,0,0,0,0,0
0.0162032,0,0,0,0,0,0,0
0.01625384,0,0,0,0,0,0,0
0.01630447,0,0,0,0,0,0,0
0.0163551,0,0,0,0,0,0,0
0.01640574,0,0,0,0,0,0,0
0.01645637,0,0,0,0,0,0,0
0.01650701,0,0,0,0,0,0,0
0.01655764,0,0,0,0,0,0,0
0.01660828,0,0,0,0,0,0,0
0.01665891,0,0,0,0,0,0,0
0.01670955,0,0,0,0,0,0,0
0.01676019,0,0,0,0,0,0,0
0.01681082,0,0,0,0,0,0,0
0.01686146,0,0,0,0,0,0,0
0.01691209,0,0,0,0,0,0,0
0.01696272,0,0,0,0,0,0,0
0.01701336,0,0,0,0,0,0,0
0.01706399,0,0,0,0,0,0,0
0.01711463,0,0,0,0,0,0,0
0.01716526,0,0,0,0,0,0,0
0.0172159,0,0,0,0,0,0,0
0.01726653,0,0,0,0,0,0,0
0.01731717,0,0,0,0,0,0,0
0.01736781,0,0,0,0,0,0,0
0.01741844,0,0,0,0,0,0,0
0.01746908,0,0,0,0,0,0,0
0.01751971,0,0,0,0,0,0,0
0.01757035,0,0,0,0,0,0,0
0.01762098,0,0,0,0,0,0,0
0.01767161,0,0,0,0,0,0,0
0.01772225,0,0,0,0,0,0,0
0.01777288,0,0,0,0,0,0,0
0.01782352,0,0,0,0,0,0,0
0.01787415,0,0,0,0,0,0,0
0.01792479,0,0,0,0,0,0,0
0.01797542,0,0,0,0,0,0,0
0.01802606,0,0,0,0,0,0,0
0.0180767,0,0,0,0,0,0,0
0.01812733,0,0,0,0,0,0,0
0.01817797,0,0,0,0,0,0,0
0.0182286,0,0,0,0,0,0,0
0.01827924,0,0,0,0,0,0,0
0.01832987,0,0,0,0,0,0,0
0.0183805,0,0,0,0,0,0,0
0.01843114,0,0,0,0,0,0,0
0.01848177,0,0,0,0,0,0,0
0.01853241,0,0,0,0,0,0,0
0.01858304,0,0,0,0,0,0,0
0.01863368,0,0,0,0,0,0,0
0.01868431,0,0,0,0,0,0,0
0.01873495,0,0,0,0,0,0,0
0.01878559,0,0,0,0,0,0,0
0.01883622,0,0,0,0,0,0,0
0.01888686,0,0,0,0,0,0,0
0.01893749,0,0,0,0,0,0,0
0.01898812,0,0,0,0,0,0,0
0.01903876,0,0,0,0,0,0,0
0.01908939,0,0,0,0,0,0,0
0.01914003,0,0,0,0,0,0,0
0.01919066,0,0,0,0,0,0,0
0.0192413,0,0,0,0,0,0,0
0.01929193,0,0,0,0,0,0,0
0.01934257,0,0,0,0,0,0,0
0.01939321,0,0,0,0,0,0,0
0.01944384,0,0,0,0,0,0,0
0.01949448,0,0,0,0,0,0,0
0.01954511,0,0,0,0,0,0,0
0.01959575,0,0,0,0,0,0,0
0.01964638,0,0,0,0,0,0,0
0.01969701,0,0,0,0,0,0,0
0.01974765,0,0,0,0,0,0,0
0.01979828,0,0,0,0,0,0,0
0.01984892,0,0,0,0,0,0,0
0.01989955,0,0,0,0,0,0,0
0.01995019,0,0,0,0,0,0,0
0.02000082,0,0,0,0,0,0,0
0.02005146,0,0,0,0,0,0,0
0.0201021,0,0,0,0,0,0,0
0.02015273,0,0,0,0,0,0,0
0.02020337,0,0,0,0,0,0,0
0.020254,0,0,0,0,0,0,0
0.02030463,0,0,0,0,0,0,0
0.02035527,0,0,0,0,0,0,0
0.0204059,0,0,0,0,0,0,0
0.02045654,0,0,0,0,0,0,0
0.02050717,0,0,0,0,0,0,0
0.02055781,0,0,0,0,0,0,0
0.02060844,0,0,0,0,0,0,0
0.02065908,0,0,0,0,0,0,0
0.02070972,0,0,0,0,0,0,0
0.02076035,0,0,0,0,0,0,0
0.02081099,0,0,0,0,0,0,0
0.02086162,0,0,0,0,0,0,0
0.02091226,0,0,0,0,0,0,0
0.02096289,0,0,0,0,0,0,0
0.02101352,0,0,0,0,0,0,0
0.02106416,0,0,0,0,0,0,0
0.02111479,0,0,0,0,0,0,0
0.02116543,0,0,0,0,0,0,0
0.02121606,0,0,0,0,0,0,0
0.0212667,0,0,0,0,0,0,0
0.02131733,0,0,0,0,0,0,0
0.02136797,0,0,0,0,0,0,0
0.02141861,0,0,0,0,0,0,0
0.02146924,0,0,0,0,0,0,0
0.02151988,0,0,0,0,0,0,0
0.02157051,0,0,0,0,0,0,0
0.02162114,0,0,0,0,0,0,0
0.02167178,0,0,0,0,0,0,0
0.02172241,0,0,0,0,0,0,0
0.02177305,0,0,0,0,0,0,0
0.02182368,0,0,0,0,0,0,0
0.02187432,0,0,0,0,0,0,0
0.02192495,0,0,0,0,0,0,0
0.02197559,0,0,0,0,0,0,0
0.02202622,0,0,0,0,0,0,0
0.02207686,0,0,0,0,0,0,0
0.0221275,0,0,0,0,0,0,0
0.02217813,0,0,0,0,0,0,0
0.02222877,0,0,0,0,0,0,0
0.0222794,0,0,0,0,0,0,0
0.02233003,0,0,0,0,0,0,0
0.02238067,0,0,0,0,0,0,0
0.0224313,0,0,0,0,0,0,0
0.02248194,0,0,0,0,0,0,0
0.02253257,0,0,0,0,0,0,0
0.02258321,0,0,0,0,0,0,0
0.02263384,0,0,0,0,0,0,0
0.02268448,0,0,0,0,0,0,0
0.02273512,0,0,0,0,0,0,0
0.02278575,0,0,0,0,0,0,0
0.02283639,0,0,0,0,0,0,0
0.02288702,0,0,0,0,0,0,0
0.02293765,0,0,0,0,0,0,0
0.02298829,0,0,0,0,0,0,0
0.02303892,0,0,0,0,0,0,0
0.02308956,0,0,0,0,0,0,0
0.02314019,0,0,0,0,0,0,0
0.02319083,0,0,0,0,0,0,0
0.02324146,0,0,0,0,0,0,0
0.0232921,0,0,0,0,0,0,0
0.02334273,0,0,0,0,0,0,0
0.02339337,0,0,0,0,0,0,0
0.02344401,0,0,0,0,0,0,0
0.02349464,0,0,0,0,0,0,0
0.02354528,0,0,0,0,0,0,0
0.02359591,0,0,0,0,0,0,0
0.02364654,0,0,0,0,0,0,0
0.02369718,0,0,0,0,0,0,0
0.02374781,0,0,0,0,0,0,0
0.02379845,0,0,0,0,0,0,0
0.02384908,0,0,0,0,0,0,0
0.02389972,0,0,0,0,0,0,0
0.02395035,0,0,0,0,0,0,0
0.02400099,0,0,0,0,0,0,0
0.02405163,0,0,0,0,0,0,0
0.02410226,0,0,0,0,0,0,0
0.0241529,0,0,0,0,0,0,0
0.02420353,0,0,0,0,0,0,0
0.02425417,0,0,0,0,0,0,0
0.0243048,0,0,0,0,0,0,0
0.02435543,0,0,0,0,0,0,0
0.02440607,0,0,0,0,0,0,0
0.0244567,0,0,0,0,0,0,0
0.02450734,0,0,0,0,0,0,0
0.02455797,0,0,0,0,0,0,0
0.02460861,0,0,0,0,0,0,0
0.02465924,0,0,0,0,0,0,0
0.02470988,0,0,0,0,0,0,0
0.02476052,0,0,0,0,0,0,0
0.02481115,0,0,0,0,0,0,0
0.02486179,0,0,0,0,0,0,0
0.02491242,0,0,0,0,0,0,0
0.02496305,0,0,0,0,0,0,0
0.02501369,0,0,0,0,0,0,0
0.02506432,0,0,0,0,0,0,0
0.02511496,0,0,0,0,0,0,0
0.02516559,0,0,0,0,0,0,0
0.02521623,0,0,0,0,0,0,0
0.02526686,0,0,0,0,0,0,0
0.0253175,0,0,0,0,0,0,0
0.02536813,0,0,0,0,0,0,0
0.02541877,0,0,0,0,0,0,0
0.02546941,0,0,0,0,0,0,0
0.02552004,0,0,0,0,0,0,0
0.02557068,0,0,0,0,0,0,0
0.02562131,0,0,0,0,0,0,0
0.02567194,0,0,0,0,0,0,0
0.02572258,0,0,0,0,0,0,0
0.02577321,0,0,0,0,0,0,0
0.02582385,0,0,0,0,0,0,0
0.02587448,0,0,0,0,0,0,0
0.02592512,0,0,0,0,0,0,0
0.02597575,0,0,0,0,0,0,0
0.02602639,0,0,0,0,0,0,0
0.02607703,0,0,0,0,0,0,0
0.02612766,0,0,0,0,0,0,0
0.0261783,0,0,0,0,0,0,0
0.02622893,0,0,0,0,0,0,0
0.02627956,0,0,0,0,0,0,0
0.0263302,0,0,0,0,0,0,0
0.02638083,0,0,0,0,0,0,0
0.02643147,0,0,0,0,0,0,0
0.0264821,0,0,0,0,0,0,0
0.02653274,0,0,0,0,0,0,0
0.02658337,0,0,0,0,0,0,0
0.02663401,0,0,0,0,0,0,0
0.02668464,0,0,0,0,0,0,0
0.02673528,0,0,0,0,0,0,0
0.02678592,0,0,0,0,0,0,0
0.02683655,0,0,0,0,0,0,0
0.02688719,0,0,0,0,0,0,0
0.02693782,0,0,0,0,0,0,0
0.02698845,0,0,0,0,0,0,0
0.02703909,0,0,0,0,0,0,0
0.02708972,0,0,0,0,0,0,0
0.02714036,0,0,0,0,0,0,0
0.02719099,0,0,0,0,0,0,0
0.02724163,0,0,0,0,0,0,0
0.02729226,0,0,0,0,0,0,0
0.0273429,0,0,0,0,0,0,0
0.02739354,0,0,0,0,0,0,0
0.02744417,0,0,0,0,0,0,0
0.02749481,0,0,0,0,0,0,0
0.02754544,0,0,0,0,0,0,0
0.02759607,0,0,0,0,0,0,0
0.02764671,0,0,0,0,0,0,0
0.02769734,0,0,0,0,0,0,0
0.02774798,0,0,0,0,0,0,0
0.02779861,0,0,0,0,0,0,0
0.02784925,0,0,0,0,0,0,0
0.02789988,0,0,0,0,0,0,0
0.02795052,0,0,0,0,0,0,0
0.02800115,0,0,0,0,0,0,0
0.02805179,0,0,0,0,0,0,0
0.02810243,0,0,0,0,0,0,0
0.02815306,0,0,0,0,0,0,0
0.0282037,0,0,0,0,0,0,0
0.02825433,0,0,0,0,0,0,0
0.02830496,0,0,0,0,0,0,0
0.0283556,0,0,0,0,0,0,0
0.02840623,0,0,0,0,0,0,0
0.02845687,0,0,0,0,0,0,0
0.0285075,0,0,0,0,0,0,0
0.02855814,0,0,0,0,0,0,0
0.02860877,0,0,0,0,0,0,0
0.02865941,0,0,0,0,0,0,0
0.02871005,0,0,0,0,0,0,0
0.02876068,0,0,0,0,0,0,0
0.02881132,0,0,0,0,0,0,0
0.02886195,0,0,0,0,0,0,0
0.02891259,0,0,0,0,0,0,0
0.02896322,0,0,0,0,0,0,0
0.02901385,0,0,0,0,0,0,0
0.02906449,0,0,0,0,0,0,0
0.02911512,0,0,0,0,0,0,0
0.02916576,0,0,0,0,0,0,0
0.02921639,0,0,0,0,0,0,0
0.02926703,0,0,0,0,0,0,0
0.02931766,0,0,0,0,0,0,0
0.0293683,0,0,0,0,0,0,0
0.02941894,0,0,0,0,0,0,0
0.02946957,0,0,0,0,0,0,0
0.02952021,0,0,0,0,0,0,0
0.02957084,0,0,0,0,0,0,0
0.02962147,0,0,0,0,0,0,0
0.02967211,0,0,0,0,0,0,0
0.02972274,0,0,0,0,0,0,0
0.02977338,0,0,0,0,0,0,0
0.02982401,0,0,0,0,0,0,0
0.02987465,0,0,0,0,0,0,0
0.02992528,0,0,0,0,0,0,0
0.02997592,0,0,0,0,0,0,0
0.03002655,0,0,0,0,0,0,0
0.03007719,0,0,0,0,0,0,0
0.03012783,0,0,0,0,0,0,0
0.03017846,0,0,0,0,0,0,0
0.0302291,0,0,0,0,0,0,0
0.03027973,0,0,0,0,0,0,0
0.03033036,0,0,0,0,0,0,0
0.030381,0,0,0,0,0,0,0
0.03043163,0,0,0,0,0,0,0
0.03048227,0,0,0,0,0,0,0
0.0305329,0,0,0,0,0,0,0
0.03058354,0,0,0,0,0,0,0
0.03063417,0,0,0,0,0,0,0
0.03068481,0,0,0,0,0,0,0
0.03073545,0,0,0,0,0,0,0
0.03078608,0,0,0,0,0,0,0
0.03083672,0,0,0,0,0,0,0
0.03088735,0,0,0,0,0,0,0
0.03093798,0,0,0,0,0,0,0
0.03098862,0,0,0,0,0,0,0
0.03103925,0,0,0,0,0,0,0
0.03108989,0,0,0,0,0,0,0
0.03114052,0,0,0,0,0,0,0
0.03119116,0,0,0,0,0,0,0
0.03124179,0,0,0,0,0,0,0
0.03129243,0,0,0,0,0,0,0
0.03134306,0,0,0,0,0,0,0
0.0313937,0,0,0,0,0,0,0
0.03144433,0,0,0,0,0,0,0
0.03149497,0,0,0,0,0,0,0
0.0315456,0,0,0,0,0,0,0
0.03159624,0,0,0,0,0,0,0
0.03164687,0,0,0,0,0,0,0
0.03169751,0,0,0,0,0,0,0
0.03174814,0,0,0,0,0,0,0
0.03179878,0,0,0,0,0,0,0
0.03184941,0,0,0,0,0,0,0
0.03190005,0,0,0,0,0,0,0
0.03195068,0,0,0,0,0,0,0
0.03200132,0,0,0,0,0,0,0
0.03205196,0,0,0,0,0,0,0
0.03210259,0,0,0,0,0,0,0
0.03215323,0,0,0,0,0,0,0
0.03220386,0,0,0,0,0,0,0
0.0322545,0,0,0,0,0,0,0
0.03230513,0,0,0,0,0,0,0
0.03235577,0,0,0,0,0,0,0
0.0324064,0,0,0,0,0,0,0
0.03245704,0,0,0,0,0,0,0
0.03250767,0,0,0,0,0,0,0
0.03255831,0,0,0,0,0,0,0
0.03260894,0,0,0,0,0,0,0
0.03265957,0,0,0,0,0,0,0
0.03271021,0,0,0,0,0,0,0
0.03276084,0,0,0,0,0,0,0
0.03281148,0,0,0,0,0,0,0
0.03286211,0,0,0,0,0,0,0
0.03291275,0,0,0,0,0,0,0
0.03296338,0,0,0,0,0,0,0
0.03301402,0,0,0,0,0,0,0
0.03306465,0,0,0,0,0,0,0
0.03311529,0,0,0,0,0,0,0
0.03316592,0,0,0,0,0,0,0
0.03321656,0,0,0,0,0,0,0
0.03326719,0,0,0,0,0,0,0
0.03331783,0,0,0,0,0,0,0
0.03336846,0,0,0,0,0,0,0
0.0334191,0,0,0,0,0,0,0
0.03346974,0,0,0,0,0,0,0
0.03352037,0,0,0,0,0,0,0
0.03357101,0,0,0,0,0,0,0
0.03362164,0,0,0,0,0,0,0
0.03367228,0,0,0,0,0,0,0
0.03372291,0,0,0,0,0,0,0
0.03377355,0,0,0,0,0,0,0
0.03382418,0,0,0,0,0,0,0
0.03387482,0,0,0,0,0,0,0
0.03392545,0,0,0,0,0,0,0
0.03397608,0,0,0,0,0,0,0
0.03402672,0,0,0,0,0,0,0
0.03407735,0,0,0,0,0,0,0
0.03412799,0,0,0,0,0,0,0
0.03417862,0,0,0,0,0,0,0
0.03422926,0,0,0,0,0,0,0
0.03427989,0,0,0,0,0,0,0
0.03433053,0,0,0,0,0,0,0
0.03438116,0,0,0,0,0,0,0
0.0344318,0,0,0,0,0,0,0
0.03448243,0,0,0,0,0,0,0
0.03453307,0,0,0,0,0,0,0
0.0345837,0,0,0,0,0,0,0
